t_no	u_no	p_no	t_seat	t_discount
74	7	71	A06,E01	1,1
75	5	113	E01,C06	0,0
76	10	268	C06,B10	2,2
77	8	262	B10,F09	0,0
78	6	38	F09,D04	1,1
79	2	100	D04,C01	2,2
80	1	223	C01,F02	0,0
81	10	38	F02,A03	0,0
82	8	31	A03	1
83	2	43	A04	0
84	8	57	F10	0
85	9	212	C01	1
86	5	50	C06	0
87	5	222	D03	0
88	5	231	F08,A04	0,0
89	4	196	A04,A06	1,1
90	8	102	A06,B10	0,0
91	2	275	B10	0
92	9	200	D03,B02	0,0
93	6	40	B02	0
94	3	88	E07,A02	0,0
95	7	189	A02,E06	0,0
96	2	162	E06	0
97	7	219	C08,C05	0,0
98	5	72	C05,B01	0,0
99	9	179	B01,E07	0,0
100	10	161	E07	0
101	6	195	F03,B09	0,0
102	1	205	B09,E03	1,1
103	4	221	E03,E06	0,0
104	2	262	E06	0
105	8	136	A07,A03	0,0
106	10	12	A03,C02	0,0
107	6	199	C02,E08	0,0
108	9	159	E08,E10	0,0
109	4	279	E10,C03	0,0
110	5	248	C03,C07	0,0
111	2	253	C07,C02	0,0
112	10	108	C02	0
113	3	69	F08	0
114	2	283	F04	0
115	6	165	E09	0
116	4	78	B05	1
117	4	96	B02	0
118	3	159	F08	0
119	10	154	B02,B02	0,0
120	7	67	B02	0
121	2	269	F01,B06	0,0
122	1	220	B06,E06	0,0
123	8	73	E06,E04	0,0
124	2	217	E04,D01	1,1
125	2	56	D01	0
126	5	259	F06	0
127	1	20	A02,E01	0,0
128	9	211	E01	0
129	4	148	C01,E03	0,0
130	10	155	E03,C05	0,0
131	2	254	C05	0
132	3	33	E06,A09	0,0
133	2	195	A09,F06	0,0
134	7	171	F06,D08	0,0
135	3	69	D08	1
136	3	49	F10	0
137	9	8	B09,C03	1,1
138	7	22	C03,A09	0,0
139	10	27	A09,C08	1,1
140	5	183	C08,A02	0,0
141	1	254	A02	0
142	7	85	B01,D09	0,0
143	1	140	D09,F04	1,1
144	8	21	F04	0
145	10	182	C06	0
146	2	19	B02	0
147	3	220	A09	0
148	5	237	A08	0
149	9	236	A05	0
150	1	6	C10	2
151	9	209	E09	0
152	10	187	A05,B05	0,0
153	6	254	B05,A08	0,0
154	9	199	A08,C10	1,1
155	4	57	C10	0
156	5	222	E03	0
157	9	115	A05,E02	0,0
158	3	169	E02,C07	2,2
159	7	234	C07,F05	0,0
160	8	257	F05	0
161	6	87	D08	0
162	10	290	F03,D02	0,0
163	5	57	D02	0
164	5	201	E04	1
165	2	240	C03	0
166	4	24	F01,D03	0,0
167	8	163	D03,F06	1,1
168	9	63	F06	0
169	1	90	D09,C07	1,1
170	6	62	C07,F06	0,0
171	7	47	F06	0
172	2	32	C08	0
173	5	199	D04,D10	1,1
174	4	234	D10,E07	0,0
175	4	35	E07	1
176	3	181	A09,A05	1,1
177	7	281	A05	0
178	6	232	B02,F07	0,0
179	5	290	F07	0
180	8	98	F10,E02	0,0
181	8	253	E02,E03	0,0
182	1	182	E03	0
183	4	217	E05,F02	0,0
184	6	237	F02	0
185	10	95	E07,E09	1,1
186	6	189	E09	0
187	3	26	A02	0
188	2	289	D08	0
189	5	123	C04,B02	0,0
190	6	165	B02	0
191	7	70	D10	0
192	4	26	A01	0
193	8	118	F08,C08	0,0
194	9	175	C08,A09	2,2
195	4	48	A09	1
196	7	152	C07,F02	0,0
197	1	221	F02,D10	0,0
198	9	107	D10,D10	0,0
199	9	66	D10	0
200	4	122	F07	0
201	8	11	B06	2
202	3	197	F04	1
203	10	138	C01,B10	0,0
204	8	280	B10	1
205	6	37	C09,D09	0,0
206	8	4	D09	0
207	3	249	F02,F02	0,0
208	2	202	F02,F10	1,1
209	1	66	F10,E02	0,0
210	4	199	E02,E05	0,0
211	2	191	E05	0
212	3	29	E04	0
213	7	7	B08	0
214	4	141	B08,A07	0,0
215	2	164	A07,D05	0,0
216	5	77	D05	0
217	6	174	A06	0
218	3	60	E03	0
219	2	26	B08	0
220	9	207	C09,B07	0,0
221	1	165	B07	0
222	10	196	A04	0
223	6	131	E04	0
224	4	3	B10,F05	1,1
225	1	222	F05,C06	0,0
226	5	181	C06,F09	0,0
227	2	18	F09	0
228	3	93	E04	1
229	9	63	A08,B06	0,0
230	8	96	B06,F10	0,0
231	10	58	F10,A07	1,1
232	7	235	A07,D10	1,1
233	9	92	D10	1
234	4	179	B05	1
235	3	30	D03,F10	0,0
236	5	53	F10	0
237	1	40	C01	0
238	10	12	E08,C04	0,0
239	5	273	C04	0
240	9	248	F05	0
241	5	209	F10,E06	0,0
242	10	288	E06	0
243	7	9	F01,A07	0,0
244	7	123	A07	0
245	4	101	E06,D08	0,0
246	5	195	D08,D01	0,0
247	7	229	D01,E01	0,0
248	4	49	E01,A07	0,0
249	7	258	A07,F08	1,1
250	10	68	F08,E02	0,0
251	8	47	E02,C01	2,2
252	8	98	C01	0
253	7	45	C10,B09	0,0
254	3	184	B09	0
255	2	118	B04,C04	0,0
256	6	181	C04	0
257	4	50	A05	0
258	5	138	D10,E04	0,0
259	2	29	E04	0
260	6	177	A06	1
261	1	263	B01,E09	2,2
262	2	135	E09,A03	0,0
263	5	2	A03,E05	0,0
264	2	123	E05	0
265	4	92	B05,C03	1,1
266	2	236	C03	2
267	4	41	E09	0
268	9	20	D02	0
269	3	17	F05,E06	0,0
270	4	119	E06	0
271	6	286	C08,C05	1,1
272	9	27	C05,D05	0,0
273	8	33	D05	0
274	9	209	E04	1
275	1	32	A05	0
276	6	116	E04,C01	0,0
277	2	255	C01	0
278	2	159	A02,F02	0,0
279	9	8	F02	0
280	5	292	D03	1
281	3	206	E07	0
282	5	110	C08	0
283	6	190	C06	0
284	10	83	A06	0
285	2	185	C05,D02	0,0
286	8	219	D02	0
287	2	109	A10,F04	0,0
288	7	92	F04	0
289	9	21	C09,D06	0,0
290	2	245	D06	0
291	7	130	F01,A09	0,0
292	4	146	A09	0
293	9	98	C07	0
294	10	88	A03	0
295	2	180	E06	0
296	10	162	E06,B10	0,0
297	1	5	B10,C06	1,1
298	9	246	C06	2
299	5	1	C01,A09	0,0
300	7	104	A09,A10	0,0
301	7	40	A10,E06	0,0
302	2	67	E06	0
303	1	283	E10	0
304	2	217	A05	0
305	7	229	C08	0
306	3	84	D02	0
307	7	16	F10	0
308	8	116	D02	1
309	10	147	E08	0
310	6	63	F08	1
311	7	145	F04	0
312	9	226	B03,C06	0,0
313	9	139	C06	0
314	6	225	E07,C07	0,0
315	1	34	C07	0
316	3	94	D09	0
317	7	165	D02,E07	2,2
318	1	3	E07,A02	0,0
319	3	92	A02	0
320	5	92	A03	0
321	8	49	F01	0
322	9	156	B03	0
323	4	167	C10,E10	0,0
324	3	281	E10,B03	2,2
325	2	95	B03	0
326	2	36	F03,E05	1,1
327	3	67	E05	0
328	8	96	D02,C10	1,1
329	10	46	C10	0
330	9	195	B01,D03	1,1
331	6	225	D03	0
332	5	156	D08,A01	0,0
333	3	268	A01	0
334	4	103	F05	0
335	9	152	A09	0
336	5	281	B05,D05	0,0
337	8	220	D05	0
338	1	235	F05	0
339	2	62	A04	0
340	6	112	A05,B01	0,0
341	8	73	B01	0
342	10	172	B10	0
343	9	258	D05,E02,B03	0,0,0
344	6	115	E02	0
345	9	126	B03	0
346	4	272	F04,E03	1,1
347	8	94	E03	0
348	8	138	E08	0
349	6	67	C08,A08	0,0
350	6	275	D07	0
351	6	9	C09,E07	0,0
352	1	271	E07,A05	0,0
353	10	39	A05	0
354	6	55	D06,D08	0,0
355	9	195	D08,E04	1,1
356	7	274	E04,C03,F07	0,0,0
357	7	205	C03,F07	1,1
358	8	247	F07,E04	0,0
359	9	63	E04,A04	0,0
360	9	237	A04,D10,F07	0,0,0
361	8	272	D10,F07	0,0
362	1	87	F07	0
363	4	174	C04,A08	1,1
364	1	286	A08,E05	0,0
365	10	231	E05,C08,F06	0,0,0
366	8	78	C08,F06	1,1
367	1	82	F06	0
368	4	186	F07,F07	0,0
369	6	26	F07,F07	2,2
370	1	129	F07	0
371	10	30	C01	0
372	5	91	F04,F02,E08	0,0,1
373	8	90	F02	0
374	1	177	E08,F02	0,0
375	9	20	F02	0
376	1	256	F01,B06,D08	0,1,0
377	5	152	B06,D08	0,0
378	3	92	D08	0
379	2	202	B09	0
380	2	92	F09	1
381	9	253	F02,F10	0,0
382	9	156	F10	0
383	6	42	B01,E06	0,0
384	3	275	E06,C10	1,1
385	10	39	C10,F03,B07	1,0,0
386	4	286	F03	0
387	2	22	B07,A09,C02	0,0,0
388	2	266	A09,C02,A10	0,0,0
389	3	87	C02	0
390	4	209	A10	0
391	10	1	F05,E04	0,0
392	5	83	E04	0
393	10	230	C09,B05	1,1
394	1	185	B05,E03	1,1
395	4	118	E03,C04,E08	0,0,0
396	9	169	C04,E08,E10	0,0,0
397	2	63	E08,E10	1,1
398	6	208	E10	0
399	5	223	B02	0
400	6	281	D08	1
401	8	79	F07	0
402	7	29	A09,A06	0,0
403	7	26	A06	1
404	9	83	E04,D09	0,0
405	2	9	D09,E02	1,1
406	2	137	E02,C05	0,0
407	2	202	C05,F02	0,0
408	10	259	F02	0
409	8	6	A05,E05	0,0
410	8	77	E05,A09	0,0
411	3	289	A09	0
412	3	6	D07,C06	0,0
413	7	6	C06,F06	0,0
414	4	60	F06,D03	0,0
415	1	269	D03,C10	0,0
416	8	28	C10,F04	0,0
417	10	41	F04	0
418	7	10	A07,F08	0,0
419	5	68	F08,A08	0,0
420	1	48	A08,E03	0,0
421	1	80	E03,D09	0,0
422	3	272	D09,C09	0,0
423	6	7	C09	0
424	6	111	B08,F05	0,0
425	1	55	F05,A06	1,1
426	10	48	A06	1
427	2	230	F04,C05	2,2
428	3	126	C05	0
429	10	252	B10	0
430	3	279	A06,E01	0,0
431	7	194	E01,E04	0,0
432	8	47	E04,B03	2,2
433	5	252	B03,D07	0,0
434	6	183	D07,B08	0,0
435	10	176	B08,B04	0,0
436	4	21	B04	0
437	10	140	D02,A10	1,1
438	7	142	A10,D05	0,0
439	4	200	D05,F07	0,0
440	9	47	F07,F05	0,0
441	4	6	F05	0
442	4	65	A07,E04	1,1
443	5	57	E04	2
444	9	135	B02,A06	0,0
445	7	41	A06,C07	0,0
446	5	249	C07,E07	1,1
447	1	133	E07	0
448	10	114	B01,E02	0,0
449	3	2	E02,E05	1,1
450	4	177	E05	0
451	6	73	F05,B05	0,0
452	8	36	B05,A01	1,1
453	10	6	A01,C05	0,0
454	8	124	C05,C02	1,1
455	8	106	C02	2
456	6	67	D08,A08	0,0
457	2	113	A08,C09	0,0
458	7	212	C09,F08	2,2
459	9	90	F08	0
460	7	214	E01,F01	0,0
461	10	49	F01,F04	0,0
462	8	71	F04	0
463	6	150	C02,C07	0,0
464	9	195	C07,C05	0,0
465	2	97	C05	2
466	3	125	A05,C08	0,0
467	7	49	C08,A09	0,0
468	7	291	A09,B07	0,0
469	6	89	B07,B10	0,0
470	6	286	B10	0
471	10	9	A03	0
472	4	69	A03,A07	1,1
473	2	255	A07,B08	0,0
474	2	44	B08	0
475	9	79	D04,A03	0,0
476	3	28	A03,D03	0,0
477	5	235	D03,A05	0,0
478	1	187	A05,C02	0,0
479	4	193	C02,F02	0,0
480	8	100	F02,E02	2,2
481	10	280	E02,A01	0,0
482	3	113	A01,A10	0,0
483	4	39	A10	0
484	7	78	B07,C07	0,0
485	7	290	C07,F08	0,0
486	1	250	F08,A03	1,1
487	7	205	A03,B06	0,0
488	6	227	B06,F08	0,0
489	9	58	F08,B09	0,0
490	10	85	B09,B08	0,0
491	7	213	B08	0
492	3	277	A03,B05	1,1
493	8	192	B05,E07	0,0
494	7	272	E07	1
495	4	103	F01,B08	2,2
496	4	103	B08,C03	0,0
497	2	71	C03,D01	0,0
498	10	233	D01,B06	0,0
499	3	275	B06,D04	0,0
500	2	37	D04	0
501	8	14	A04,F04	2,2
502	9	243	F04,C08	1,1
503	5	240	C08,A02	0,0
504	7	144	A02,E07	0,0
505	1	152	E07	1
506	5	238	F07,D02	0,0
507	10	155	D02,D03	0,0
508	5	64	D03,C07	1,1
509	2	292	C07	0
510	9	18	C04,E01	0,0
511	4	195	E01,F05	0,0
512	4	143	F05	0
513	9	199	F01	0
514	10	146	C07,D10	0,0
515	1	102	D10	2
516	2	112	F06	0
517	9	109	C10,A08	1,1
518	10	28	A08	0
519	3	280	A03	0
520	7	81	D10,F10	0,0
521	1	280	F10,E09	0,0
522	9	126	E09,C02	0,0
523	8	130	C02,A01	2,2
524	6	176	A01	0
525	4	128	D03,B01	0,0
526	9	28	B01,D09	0,0
527	1	64	D09	0
528	6	209	A07,A08	0,0
529	6	3	A08,F03,B05	0,0,1
530	10	8	F03,B05	0,0
531	8	14	B05,D10,D03	0,1,0
532	7	184	D10,D03,D10	1,0,1
533	4	251	D03	0
534	7	151	D10	1
535	2	202	E01,E08,B03	0,1,0
536	2	62	E08,B03	0,0
537	3	292	B03,A06	0,0
538	4	227	A06,B01,F03	1,0,0
539	4	246	B01	0
540	3	258	F03,D01	0,0
541	9	93	D01,C10	2,2
542	2	224	C10,E07	0,0
543	6	70	E07,A01,F07,F02	0,0,0,0
544	9	31	A01,F07,F02,D09	0,0,0,0
545	3	258	F07	1
546	5	258	F02,D09	1,1
547	8	144	D09,A06,C07,F10	0,0,0,0
548	4	5	A06,C07	0,0
549	7	34	C07	0
550	1	11	F10,F04,F09	0,0,0
551	10	92	F04,F09,B05,F05	0,0,0,1
552	1	188	B05,F05	0,0
553	1	95	F05,A01	0,0
554	5	78	A01,B07,A10,B04	0,1,0,0
555	5	199	B07,A10	0,0
556	5	167	A10,B04	0,0
557	6	238	B04,D04	1,1
558	5	80	D04	0
559	2	40	E01,B10	0,0
560	3	284	B10,C01,C02,E01	1,0,0,0
561	1	197	C01,C02	0,0
562	3	7	C02	0
563	7	158	E01,A04,E03,C05	0,0,0,0
564	2	29	A04,E03	0,0
565	9	142	E03,C05,E05	0,0,0
566	8	158	C05,E05,D08	0,0,0
567	7	171	E05	0
568	10	180	D08,C06,F02,C04	0,0,0,0
569	9	100	C06,F02,C04,C09	0,0,0,0
570	6	228	F02	0
571	1	47	C04,C09,B06	0,0,1
572	5	248	C09,B06	0,0
573	5	280	B06,B07	1,1
574	6	42	B07	1
575	7	37	A10	0
576	4	200	C04	0
577	6	69	F03,C08	0,0
578	8	154	C08,F03	0,0
579	10	77	F03,C08	0,0
580	6	231	C08,E03	1,1
581	6	245	E03,A07	0,0
582	5	89	A07,A01	0,0
583	3	94	A01	0
584	7	216	E08,F09	0,0
585	5	156	F09	0
586	3	28	E08,E09,B08	0,1,0
587	7	3	E09,B08,A07	1,0,0
588	3	27	B08,A07,A10	0,0,0
589	10	202	A07,A10,E02	0,0,0
590	9	273	A10	1
591	2	72	E02,F04,E04,C08	0,0,0,0
592	5	14	F04,E04	0,0
593	9	221	E04,C08	1,1
594	7	106	C08,D03	1,1
595	1	225	D03,D02,E08,E10	0,0,0,0
596	1	71	D02	0
597	3	36	E08	0
598	7	8	E10	0
599	6	211	A09	0
600	7	128	C05,A06,F04	0,0,0
601	3	4	A06,F04	0,0
602	2	207	F04	0
603	10	127	D10,F10	0,0
604	2	125	F10	0
605	6	149	D02	0
606	4	107	F03	0
607	4	222	C07,A06	0,0
608	4	252	A06,A03	0,0
609	6	206	A03	0
610	7	138	A01	0
611	9	95	F07	0
612	9	220	A06	1
613	7	49	B06,F03	0,0
614	10	73	C09,A02,E06	0,0,0
615	9	124	A02,E06,B05	0,0,0
616	8	148	E06,B05,A08	0,0,0
617	2	191	B05,A08	0,0
618	7	167	A08,F02	0,0
619	8	33	F02	0
620	1	100	F03,F01	0,0
621	8	84	F01,B07	0,0
622	7	173	B07,E09,D10	0,0,1
623	6	169	E09,D10	0,0
624	7	47	D10	0
625	10	177	F09	0
626	6	35	F09	1
627	4	68	F09,F03	0,0
628	2	84	F03	0
629	5	125	B04,A03,E04	0,1,0
630	10	206	A03,E04	2,2
631	4	8	E04,F02	0,0
632	9	236	F02	0
633	4	116	A05,F03,B07	1,0,0
634	2	90	F03	0
635	3	88	B07	0
636	6	289	C09	2
637	8	55	B03	0
638	6	291	A05	0
639	10	145	D08,C01,C03	0,0,0
640	9	70	C01	0
641	1	72	C03,C03,C03	0,0,1
642	7	250	C03	0
643	3	136	C03,B05	0,0
644	7	100	B05,F05,A09	0,1,1
645	10	197	F05	0
646	8	9	A09	0
647	8	256	E03	0
648	3	188	B07,E01	0,0
649	6	75	E01,B05	0,0
650	7	216	B05,E07,D02,E08,C01	1,0,0,0,0
651	8	164	E07,D02,E08,C01,E05	0,0,0,0,0
652	5	231	D02,E08,C01	1,1,0
653	4	200	E08,C01,E05	1,0,1
654	9	193	C01,E05	0,0
655	1	29	E05	0
656	4	126	C05,B09	0,0
657	3	283	B09	0
658	8	126	B08,D01	0,0
659	1	118	D01	0
660	2	158	E06,C07	0,0
661	9	8	E06,C02	0,0
662	3	139	C02	0
663	7	247	F01	0
664	9	234	F09	1
665	9	67	E02,E01,E09	0,1,1
666	1	85	E01	0
667	8	104	E09,D05,D06	1,1,0
668	6	98	D05	1
669	1	33	D06,B03	0,0
670	9	141	B03	0
671	9	138	B08,B08	0,0
672	2	194	B08,F02	0,0
673	4	11	F02,F04,A10	1,0,1
674	2	134	F04,A10	0,0
675	3	92	A10,A06	0,0
676	2	177	A06,C01	0,0
677	6	154	C01	0
678	10	33	E01,F03	0,0
679	2	239	F03,E10	0,0
680	6	100	E10	0
681	9	211	F05	0
682	9	154	A08	0
683	9	97	F06,D03,D01	0,1,0
684	10	213	D03,D01	0,0
685	4	213	D01	0
686	3	287	E02,F09	0,0
687	4	207	F09	2
688	1	60	C03,B01	0,0
689	1	24	B01,F10,E04	1,0,0
690	6	19	F10,E04,D07	0,0,0
691	6	125	E04,D07	0,0
692	9	6	D07,F05	0,0
693	4	39	F05,B08	1,1
694	1	121	B08,B02	0,0
695	9	110	B02,D10	0,0
696	1	188	D10	1
697	10	176	A08	0
698	10	255	D02,E10	0,0
699	2	205	E10	0
700	10	86	D08,C09,C03	0,0,0
701	10	292	C09,C03	0,0
702	4	250	C03	1
703	10	85	D08,E07	0,0
704	2	195	E07,E10	1,1
705	1	79	E10,B05	0,0
706	10	179	B05,C04	0,0
707	2	251	C04,E09,B05	0,0,0
708	6	231	E09	0
709	8	272	B05,B04	0,0
710	9	181	B04	0
711	10	3	E06	0
712	3	82	C04	0
713	4	59	F01	0
714	6	283	E03	0
715	1	146	E06,E08,E04	0,0,2
716	6	101	E08	0
717	7	275	E04,A04,D01	0,2,0
718	8	284	A04	0
719	7	194	D01,B01,F01	2,0,0
720	7	141	B01,F01	0,0
721	10	238	F01,B02,D01	0,0,0
722	9	50	B02	0
723	10	20	D01,D03	0,0
724	7	34	D03	0
725	7	198	C08,E04	1,1
726	5	57	E04	1
727	1	244	E02,B05,B01	0,0,0
728	2	21	B05,B01,E02	0,0,0
729	3	204	B01	0
730	7	186	E02	0
731	9	2	E09	2
732	9	80	A07	0
733	7	70	D08,E07,C05	0,0,0
734	5	140	E07,C05	0,0
735	7	103	C05	0
736	2	240	E08,F09,C08	0,0,2
737	8	23	F09,C08	1,1
738	1	39	C08,E08,E06	0,2,0
739	5	264	E08	1
740	3	279	E06,F04	0,0
741	2	74	F04	0
742	7	41	D03,F09,B07	2,0,0
743	10	230	F09	0
744	8	202	B07	1
745	6	163	B04,C07	0,0
746	6	59	C07	0
747	3	264	E04	0
748	7	225	D02,F08,D08	0,0,0
749	7	57	F08	0
750	6	148	D08	2
751	7	242	C09,C03	0,0
752	5	211	C03	1
753	5	49	D05,D06	0,0
754	3	10	D06	0
755	7	267	D10	2
756	9	131	D03	0
757	6	179	C03,B06,A08	0,0,2
758	9	199	B06,A08	0,0
759	6	241	A08	0
760	1	17	D10,D04,A04	0,2,0
761	7	67	D04,A04	0,0
762	3	250	A04,A10,B06	2,0,0
763	10	194	A10	1
764	7	24	B06	0
765	6	243	E05	1
766	4	194	E02	0
767	10	173	D06	1
768	6	215	B09,F08,F03	0,0,0
769	4	154	F08,F03,C06	0,0,0
770	10	99	F03,C06,A05	0,0,0
771	5	159	C06,A05	0,0
772	5	264	A05,A08	0,0
773	10	71	A08,A02	0,0
774	2	40	A02,B10	1,1
775	4	85	B10,A01	0,0
776	5	259	A01,A10	0,0
777	6	128	A10,B03	0,0
778	3	100	B03,F08	0,0
779	2	196	F08,B09	0,0
780	4	251	B09,C01	0,0
781	8	191	C01	0
782	4	271	C02	0
783	8	260	C09,D07	0,0
784	7	167	D07,C04	0,0
785	5	12	C04	0
786	4	196	D10	0
787	7	83	C01,F08	0,0
788	9	198	F08	0
789	3	62	F02	0
790	9	41	A05,E06	0,0
791	6	212	E06,F03	0,0
792	9	113	F03,C01	0,0
793	4	115	C01,A07	0,0
794	9	260	A07,D07	0,0
795	6	161	D07	0
796	4	240	D02,D06	0,0
797	7	286	D06,E08	1,1
798	5	265	E08,E07	0,0
799	10	234	E07,A07	0,0
800	7	6	A07,F08	0,0
801	5	80	F08	0
802	5	70	F05,B03	0,0
803	3	10	B03	0
804	9	67	F07	0
805	7	247	A05	0
806	3	29	D09	0
807	1	179	D02,A09	0,0
808	5	48	A09,A08	0,0
809	8	158	A08	0
810	8	138	C04	0
811	6	276	D04,F04	1,1
812	8	96	F04	0
813	7	282	D03,E01	0,0
814	1	250	E01	0
815	2	228	A05	0
816	1	157	E08,D10	0,0
817	1	251	D10,E07	0,0
818	7	12	E07,A09	0,0
819	5	63	A09	0
820	9	98	E09,B09	0,0
821	8	8	B09,B05	0,0
822	9	35	B05	0
823	3	160	D05,A01	0,0
824	2	214	A01,E09	0,0
825	6	41	E09	0
826	2	210	D09,B07	2,2
827	4	147	B06,A10	1,1
828	9	118	A10,C04	1,1
829	5	122	C04,E04	0,0
830	4	73	E04,A06	2,2
831	1	180	A06	0
832	7	243	F02,F06	2,2
833	7	42	F06,E10	1,1
834	1	220	E10,B06	0,0
835	6	47	B06,B08	2,2
836	10	166	B08,A06	2,2
837	10	233	A06	0
838	9	262	D08,E06	1,1
839	9	119	E06,B06	0,0
840	7	3	B06,B03	0,0
841	10	191	B03	0
842	10	172	F06,E05	0,0
843	2	79	E05	0
844	2	33	C09	0
845	3	203	A09,A02	0,0
846	8	30	A02	0
847	9	85	F09,E08	0,0
848	7	181	E08,C04	1,1
849	5	203	C04,A07	0,0
850	3	73	A07,D10	0,0
851	3	194	D10,D09	0,0
852	5	140	D09,F09	1,1
853	3	7	F09,B08	0,0
854	4	121	B08,B02	0,0
855	5	244	B02,A05	0,0
856	3	209	A05	0
857	6	156	B02,D10	0,0
858	9	82	D10,E07	1,1
859	7	183	E07,A05	0,0
860	4	48	A05,D09	1,1
861	5	133	D09	0
862	9	241	D05	0
863	10	91	F09,C09	0,0
864	9	238	C09	0
865	8	154	F04	0
866	4	271	A07	0
867	3	222	E07	0
868	3	162	F04	1
869	2	251	E10,A05	0,0
870	8	26	A05,C10	1,1
871	3	28	C10	0
872	3	276	F10	0
873	5	172	C07	0
874	9	152	B04	1
875	3	246	B06	0
876	8	191	C01,B05	1,1
877	2	150	B05	0
878	2	29	E07,E07	2,2
879	3	242	E07,E02	0,0
880	1	217	E02	0
881	8	27	D05,C08	0,0
882	2	29	C08,F03	0,0
883	2	39	F03	1
884	2	290	F04,D03	0,0
885	7	239	D03	0
886	1	14	C05,A02	0,0
887	8	103	A02,F09	0,0
888	3	185	F09	1
889	8	177	F05,D01	1,1
890	9	78	D01,D08	0,0
891	5	126	D08,D10	0,0
892	6	170	D10	0
893	7	207	B10,E02	1,1
894	9	243	E02,B05	0,0
895	1	79	B04,E02	0,0
896	3	83	E02,A10	0,0
897	6	279	A10,E01,A06	0,0,0
898	8	249	E01,A06	0,0
899	2	189	A06,D01	1,1
900	10	239	D01,F05	0,0
901	7	97	F05,D10	0,0
902	9	179	D10	0
