no	name	open	close	info	type	x	y
98					-1	1636	585
99					-1	1238	409
100					-1	1191	407
101					-1	1149	388
102					-1	1110	354
103					-1	1091	340
104					-1	1069	339
105					-1	1072	460
106					-1	1080	511
107					-1	1079	648
108					-1	987	638
109					-1	977	610
110					-1	978	568
111					-1	977	517
112					-1	982	474
113					-1	982	418
114					-1	986	347
115					-1	1162	654
116					-1	1192	558
117					-1	1215	487
118					-1	1264	324
119					-1	1270	280
120					-1	1261	237
121					-1	1230	221
122					-1	1147	230
123					-1	1081	240
124					-1	1033	248
125					-1	1025	226
126					-1	1025	200
127					-1	1058	194
128					-1	1076	183
129					-1	1073	129
130					-1	1048	126
131					-1	1016	133
132					-1	985	139
133					-1	973	196
134					-1	973	172
135					-1	978	228
136					-1	979	259
137					-1	948	255
138					-1	913	257
139					-1	900	296
140					-1	888	277
141					-1	890	224
142					-1	888	181
143					-1	906	188
144					-1	910	226
145					-1	925	206
146					-1	944	205
147					-1	1144	702
148					-1	1111	708
149					-1	1084	726
150					-1	1079	762
151					-1	1077	812
152					-1	1065	902
153					-1	1057	973
154					-1	1009	960
155					-1	925	946
156					-1	905	962
157					-1	900	1010
158					-1	897	1054
159					-1	950	1063
160					-1	992	1028
161					-1	1051	1037
162					-1	1037	1133
163					-1	1011	1202
164					-1	989	1261
165					-1	988	1326
166					-1	985	1383
167					-1	928	1377
168					-1	920	1349
169					-1	919	1275
170					-1	920	1208
171					-1	924	1157
172					-1	949	1157
173					-1	977	1159
174					-1	999	1172
175					-1	879	1208
176					-1	876	1263
177					-1	879	1173
178					-1	878	1123
179					-1	877	1086
180					-1	834	1228
181					-1	815	1271
182					-1	816	1319
183					-1	822	1368
184					-1	824	1419
185					-1	855	1420
186					-1	893	1417
187					-1	896	1393
188					-1	909	1432
189					-1	912	1497
190					-1	986	1493
191					-1	995	1548
192					-1	1001	1638
193					-1	923	1646
194					-1	918	1587
195					-1	868	1594
196					-1	865	1529
197					-1	832	1536
198					-1	815	1523
199					-1	820	1601
200					-1	823	1667
201					-1	842	1664
202					-1	863	1772
203					-1	897	1827
204					-1	947	1902
205					-1	966	1939
206					-1	1005	1924
207					-1	1038	2055
208					-1	1072	2155
209					-1	1067	2217
210					-1	1001	2218
211					-1	1017	2162
212					-1	1036	2231
213					-1	1028	2124
214					-1	944	2077
215					-1	1527	1551
216					-1	1528	1388
217					-1	1611	1370
218					-1	1598	1320
219					-1	1578	1252
220					-1	1677	1170
221					-1	1677	954
222					-1	1689	918
223					-1	1641	1009
224					-1	1641	920
225					-1	1589	944
226					-1	1557	950
227					-1	1556	879
228					-1	1656	836
229					-1	1655	776
230					-1	1660	752
231					-1	1692	754
232					-1	1659	709
233					-1	1545	709
234					-1	1515	711
235					-1	1518	682
236					-1	1557	642
237					-1	1579	461
238					-1	1562	326
239					-1	1537	308
240					-1	1532	287
241					-1	1558	272
242					-1	1608	271
243					-1	1647	273
244					-1	1683	282
245					-1	1677	360
246					-1	1673	406
247					-1	1681	468
248					-1	1660	1374
249					-1	1669	1325
250					-1	1664	1290
251					-1	1683	1227
252					-1	1486	1744
253					-1	1405	1792
254					-1	1311	1838
255					-1	1007	1834
256					-1	1417	1496
257					-1	1292	1519
258					-1	1193	1519
259					-1	1196	1431
260					-1	1242	1428
261					-1	1281	1453
262					-1	1294	1489
263					-1	1148	1432
264					-1	1115	1447
265					-1	1095	1490
266					-1	1096	1525
267					-1	1040	1525
268					-1	1511	1007
269					-1	1466	1033
270					-1	1402	1105
271					-1	1308	1138
272					-1	1180	1155
273					-1	1062	1157
274					-1	975	1138
275					-1	948	1113
276					-1	1296	412
277					-1	1400	433
278					-1	1500	480
279					-1	862	1229
280					-1	823	1401
281					-1	804	1436
282					-1	963	2009
283					-1	985	2105
284					-1	972	2135
285					-1	934	2116
286					-1	921	2157
287					-1	937	2185
288					-1	885	1941
289					-1	822	1940
290					-1	808	1918
291					-1	808	1875
292					-1	808	1818
293					-1	807	1755
294					-1	780	1727
295					-1	781	1669
296					-1	644	1729
297					-1	538	1735
298					-1	494	1728
299					-1	492	1407
300					-1	729	1408
301					-1	734	1571
302					-1	779	1576
303					-1	639	1665
304					-1	640	1574
305					-1	530	1573
306					-1	505	1577
307					-1	513	1661
308					-1	537	1667
309					-1	1023	643
310					-1	1175	611
311					-1	1061	935
312					-1	858	1392
313					-1	985	1419
314					-1	583	1573
315					-1	694	1731
316					-1	1009	1719
317					-1	981	445
318					-1	1204	521
319					-1	1187	225
320					-1	1697	681
321					-1	1675	1048
322					-1	1679	1201
323					-1	1664	1351
324					-1	1461	1939
325					-1	1448	2221
326					-1	883	1806
327					-1	999	1589
328					-1	1044	1087
329					-1	998	1237
330					-1	1359	2078
331					-1	1496	1705
332					-1	1232	1521
333					-1	979	952
334	인천마이스터병원	8:00:00	22:00:00	박순형 원장님 운영중	1	946	303
335	바이스시티 병원	7:00:00	17:00:00	안녕하세요~	1	1139	342
336	광주시 풋병원	0:00:00	23:59:59	24시간 운영중~(1초 쉽니다)	1	1630	379
337	전라 동화병원	5:00:00	19:00:00	전라 동화병원입니다	1	1390	490
338	대찬병원	7:00:00	23:00:00	대찬병원입니다	1	1573	662
339	바이스 유비스병원	8:00:00	16:00:00	바이스 유비스병원입니다	1	1353	2109
340	인천적십자병원	8:00:00	15:00:00	인천적십자병원입니다	1	1027	2191
341	인천백병원	4:00:00	20:00:00	인천백병원입니다	1	902	2110
342	바이스 종합병원	3:00:00	23:00:00	바이스 종합병원입니다	1	563	1344
343	은혜병원	5:00:00	21:00:00	은혜병원입니다	1	1429	350
344	오일에이트병원	6:00:00	23:23:00	오일에이트병원입니다	1	1699	269
345					-1	556	1407
