node1	node2	name
169	168	봉수대로
168	167	봉수대로
167	166	봉수대로
166	165	금창로
166	313	봉수대로
313	190	봉수대로
190	191	봉수대로
21	117	새누리아파트 입구
167	187	금창로11번길
187	312	금창로11번길
312	183	금창로11번길
183	182	금창로11번길
183	280	금창로17번길
280	312	금창로17번길
280	184	금창로17번길
22	319	아이파크 입구
184	185	금창로17번길
185	186	금창로17번길
186	187	금창로17번길
186	188	금창로36번길
188	189	금창로36번길
189	190	금창로47번길
184	281	금창로36번길
281	198	금창로36번길
198	197	금창로36번길
197	196	금창로36번길
196	185	금창로36번길
196	195	금창로36번길
195	194	금창로36번길
194	189	금창로36번길
191	327	봉수대로
220	6	국제성모병원 입구
327	192	봉수대로
192	193	금창로55번길
193	194	금창로55번길
195	199	금창로8번길
199	200	금창로8번길
200	201	금창로8번길
201	193	금창로8번길
201	202	동산로12번길
202	326	동산로12번길
323	7	나사렛국제병원 입구
326	203	동산로29번길
192	316	봉수대로
331	8	나은병원 입구
316	255	봉수대로
255	206	동산로29번길
203	204	동산로29번길
204	205	동산로29번길
205	206	동산로29번길
205	288	동산로29번길
288	289	동산로29번길
289	290	동산로29번길
290	291	동산로29번길
291	292	동산로29번길
292	293	동산로29번길
293	294	동산로29번길
294	295	동산로29번길
295	302	동산로29번길
302	301	동산로29번길
301	300	동산로29번길
300	299	동산로29번길
299	298	동산로29번길
298	297	동산로29번길
297	296	동산로29번길
296	315	동산로29번길
315	294	동산로29번길
316	9	부평세림병원 입구
303	296	동산로49번길
303	304	동산로49번길
304	301	동산로49번길
303	295	동산로57번길
304	314	동산로49번길
309	11	온누리진료소 입구
314	305	동산로57번길
305	306	동산로57번길
306	307	동산로57번길
307	308	동산로57번길
308	305	동산로57번길
308	303	동산로57번길
205	282	동산로29번길
282	214	동산로29번길
214	283	동산로29번길
283	213	동산로29번길
213	207	동산로29번길
207	206	동산로29번길
214	285	만석부두로6번길
285	284	만석부두로6번길
284	283	만석부두로6번길
284	211	만석부두로7번길
211	213	만석부두로7번길
211	210	만석부두로7번길
210	287	만석부두로7번길
287	286	만석부두로7번길
286	285	만석부두로7번길
210	212	방축로167번길
212	209	방축로167번길
209	208	방축로167번길
208	207	방축로167번길
255	254	봉수대로
254	58	봉수대로
58	253	샛골로193번길
58	54	봉수대로
54	53	봉수대로
53	52	봉수대로
52	50	봉수대로
50	330	샛골로95번길
332	12	인천광역시진료소 입구
330	47	샛골로95번길
47	46	샛골로95번길
46	53	샛골로95번길
50	51	봉수대로
51	49	봉수대로
49	48	서해대로513번길
48	47	서해대로513번길
49	42	봉수대로
42	40	봉수대로
40	41	봉수대로
41	37	봉수대로
37	38	봉수대로
38	39	봉수대로
325	39	봉수대로
333	13	인천기독병원 입구
325	43	봉수대로
43	42	서해대로566번길
43	44	봉수대로
48	44	서해대로513번길
44	45	봉수대로
46	45	서해대로518번길
45	56	봉수대로
56	35	솔빛로10번길
35	38	솔빛로22번길
35	36	솔빛로10번길
36	37	솔빛로10번길
324	56	봉수대로
328	14	인천사랑병원 입구
324	55	봉수대로
55	54	샛골로73번길
57	55	봉수대로
253	59	샛골로193번길
57	33	봉수대로
33	35	솔빛로22번길
33	34	솔빛로22번길
34	36	솔빛로22번길
31	33	봉수대로
32	34	솔빛로22번길
31	32	솔빛로22번길
31	30	봉수대로
30	29	봉수대로
29	28	봉수대로
28	32	솔빛로54번길
26	27	봉수대로
27	28	봉수대로
26	29	송림로118번길
26	65	봉수대로
65	66	봉수대로
66	30	송림로117번길
66	61	봉수대로
61	57	송림로109번길
61	60	봉수대로
60	331	샛골로193번길
314	15	인천적십자진료소 입구
331	252	샛골로193번길
252	59	샛골로193번길
60	62	봉수대로
62	215	봉수대로
215	64	봉수대로
64	65	샛골로110번길
70	64	봉수대로
70	68	봉수대로
68	26	송림로118번길
26	248	송림로137번길
248	323	송림로137번길
325	17	메디플렉스 세종진료소 입구
323	249	송림로137번길
68	217	봉수대로
249	250	송림로137번길
218	217	봉수대로
218	67	봉수대로
67	216	샛골로102번길
216	63	샛골로102번길
63	64	샛골로110번길
63	62	샛골로110번길
63	256	샛골로102번길
256	257	샛골로102번길
257	262	샛골로102번길
262	261	샛골로102번길
261	260	샛골로102번길
260	259	샛골로102번길
259	258	샛골로102번길
258	332	샛골로113번길
332	257	샛골로113번길
327	20	인천보훈병원 입구
258	266	샛골로102번길
266	265	샛골로157번길
265	264	샛골로157번길
264	263	샛골로157번길
263	259	샛골로157번길
266	267	샛골로102번길
267	191	샛골로102번길
67	219	봉수대로
219	69	봉수대로
69	73	봉수대로
73	74	봉수대로
74	72	봉수대로
72	220	송림로137번길
163	23	레미안 입구
220	322	송림로137번길
322	251	송림로137번길
251	71	송림로137번길
71	250	송림로137번길
72	321	봉수대로
326	24	아크로 입구
321	77	새천년로
77	223	새천년로
223	79	새천년로
79	76	새천년로
76	74	제물량로
76	75	새천년로
75	73	제물량로
75	78	새천년로
78	91	새천년로
91	79	인중로
225	91	새천년로
92	225	새천년로
225	226	송현공원로
226	227	송현공원로
227	92	송현공원로
224	222	장고개로
224	223	장고개로
222	221	장고개로
221	77	장고개로
78	268	참외전로
268	269	참외전로
269	270	참외전로
270	271	참외전로
271	272	참외전로
272	273	참외전로
92	88	새천년로
88	228	새천년로
228	224	샛골로
228	80	새천년로
80	222	샛골로
231	80	새천년로
231	230	새천년로
230	229	새천년로
229	228	샛골로
229	90	새천년로
90	88	수문통로
90	89	새천년로
89	87	새천년로
87	232	안송로
232	230	안송로
232	81	안송로
81	231	안송로
81	320	어촌로
320	25	바이스 자이파크 입구
320	82	우각로
82	84	우각로
84	83	우각로
87	86	새천년로
86	82	화수로
86	98	새천년로
98	85	새천년로
85	83	우각로
98	97	우각로
97	89	우각로
89	233	우각로
233	234	우각로
234	235	우각로
235	236	우각로
236	96	우각로
96	97	우각로
96	237	우각로
237	95	우각로
95	238	우각로
238	239	우각로
239	240	우각로
240	241	우각로
241	242	우각로
242	243	우각로
243	244	우각로
244	245	우각로
245	246	우각로
246	247	우각로
247	83	우각로
85	93	새천년로
93	94	새천년로
94	278	새천년로
278	277	새천년로
277	276	새천년로
276	99	새천년로
181	182	금창로11번길
137	334	인천마이스터병원 입구
102	335	바이스시티 병원 입구
337	277	전라 동화병원 입구
342	345	바이스 종합병원 입구
299	345	동산로88번길
345	300	만석로35번길
341	285	인천백병원 입구
340	211	인천적십자병원 입구
344	244	오일에이트병원 입구
336	95	광주시 풋병원 입구
338	236	대찬병원 입구
339	330	바이스 유비스병원 입구
277	343	은혜병원 입구
