node1	node2
25	330
330	293
330	22
35	331
331	301
331	227
232	332
332	296
332	233
129	333
333	303
333	130
15	16
17	15
18	17
14	18
13	14
12	13
16	12
11	12
10	11
13	10
31	10
20	31
19	20
18	19
24	17
26	24
25	26
22	25
23	22
24	23
19	23
21	22
27	25
28	27
21	28
20	21
30	31
29	30
29	28
33	29
8	32
32	30
10	8
9	8
11	9
7	9
6	7
36	32
41	36
5	41
5	6
6	8
3	7
4	5
3	4
2	3
1	2
4	1
1	40
41	40
43	1
45	43
39	45
40	39
190	39
37	190
38	37
39	38
37	35
191	38
192	43
193	192
42	193
194	42
44	194
48	44
49	48
50	48
51	49
47	49
195	47
52	47
54	51
66	54
53	66
53	50
196	52
197	196
55	197
198	52
54	198
199	198
197	199
200	66
201	200
202	201
67	202
63	67
203	63
55	203
204	203
65	63
204	65
205	205
205	204
206	205
206	55
56	206
207	205
56	207
62	207
64	62
64	65
208	64
209	208
210	209
211	210
71	211
72	64
61	62
57	61
57	56
59	57
58	59
73	61
72	73
71	72
212	71
70	212
213	70
214	213
215	214
216	215
217	216
218	217
219	218
222	58
221	222
220	221
219	220
68	69
60	68
73	60
58	60
42	191
227	34
35	227
36	35
228	33
34	228
229	33
230	229
231	38
232	231
237	232
236	237
235	236
234	235
239	240
238	239
234	238
233	234
241	240
233	241
233	232
242	241
166	242
243	53
244	243
245	244
245	246
247	246
248	247
249	248
250	249
134	250
135	134
136	135
129	135
130	129
131	130
132	131
133	132
134	133
154	133
153	154
152	153
150	152
145	150
146	145
147	146
250	147
148	147
149	148
138	149
137	138
136	137
128	136
127	128
126	127
125	126
124	125
123	124
122	123
90	122
82	90
124	82
91	90
92	91
93	92
94	93
95	94
96	95
97	96
98	97
99	98
100	99
101	100
102	101
103	102
104	103
105	104
106	105
107	106
109	107
108	109
110	108
111	110
112	111
113	112
114	113
115	114
116	115
117	116
118	117
119	118
120	119
121	120
108	121
89	111
79	89
78	79
77	78
76	77
75	76
251	75
252	251
253	252
69	253
88	89
87	88
86	87
85	86
84	85
83	84
82	83
80	81
79	80
166	167
165	166
141	165
140	141
139	140
138	139
144	145
151	144
254	150
155	254
150	151
156	155
157	156
158	157
255	158
162	255
255	255
255	255
255	159
160	159
161	160
162	161
142	162
143	142
144	143
141	142
163	161
164	163
165	164
169	164
170	169
171	170
172	171
173	172
256	159
173	256
160	171
174	170
175	174
176	175
168	176
167	168
169	168
177	176
178	177
179	178
180	179
181	180
230	181
182	181
183	182
184	183
187	184
185	187
186	185
188	186
182	188
257	180
189	257
258	189
188	258
258	259
186	259
260	259
189	260
262	261
260	261
185	262
263	180
264	263
265	264
266	265
267	266
268	267
269	268
270	269
277	270
278	270
278	271
272	271
273	272
274	273
275	274
276	275
277	276
279	276
278	279
278	283
280	283
282	283
281	282
280	281
279	280
223	1
224	223
225	224
46	225
226	46
195	226
255	158
82	81
309	289
309	83
82	309
310	91
90	310
310	299
311	127
128	311
311	298
312	162
255	312
288	312
313	141
165	313
287	313
314	279
280	314
285	314
315	269
271	315
284	315
317	88
87	317
290	317
318	92
91	318
318	304
319	96
97	319
305	319
320	57
56	320
306	320
321	52
47	321
300	321
322	195
226	322
291	322
323	224
223	323
292	323
324	30
31	324
294	324
325	18
14	325
302	325
316	167
230	316
286	316
326	177
326	326
326	178
327	166
167	327
295	327
307	326
297	328
328	136
137	328
329	138
139	329
329	308
330	25
293	330
22	330
331	35
301	331
227	331
332	232
296	332
233	332
333	129
303	333
130	333
