serial	name	about
11	James Arthur	James Arthur (1988 년 3 월 2 일 출생)는 영국 가수이자 작곡가입니다. 그는 2012 년 The X Factor의 9 번째 시리즈에서 우승 한 후 명성을 얻었습니다. 그의 데뷔 싱글 인 Shontelle의 "Impossible"커버는 결승 후 Syco Music에서 발매되어 영국 싱글 차트 1 위로 데뷔했습니다. 그 이후로 전 세계적으로 250 만 장 이상 판매되어 쇼 역사상 가장 성공적인 우승자 싱글이되었습니다.
12	Max Schneider	Mononym MAX로 더 잘 알려진 Maxwell George Schneider (1992 년 6 월 21 일 출생)는 Arista 및 Sony RED와 계약을 맺은 미국의 싱어 송 라이터이자 배우입니다. 2018 년에 MAX의 싱글 "Lights Down Low"는 미국에서 플래티넘, 캐나다에서는 플래티넘, 호주에서는 골드로 2 배가되었습니다. 이로 인해 MAX는 iHeart 2019 'Best New Pop Artist'후보로 선정되었으며, 2020 년에는 그의 싱글 "Love Me Less"가 미국과 캐나다에서 금메달을 획득했으며,이어서 ' "Jimmy Kimmel Live!, TODAY"공연이 이어졌습니다. , 그리고 Kelly와 Ryan과 함께 라이브
13	Cold Play	초기엔 트래비스와 라디오헤드가 보여준 음악과 비슷하였지만 갈수록 자신들만의 스타일을 확립시켜나가 평단과 대중의 호평을 동시에 받았던 몇 안 되는 밴드다.
14	Lauv	미국 출신의 일렉트로닉 팝 가수, 작곡가. 사운드클라우드, 스포티파이에 곡을 올리다가 유명해졌다. 활동명인 '라우브(Lauv)'는 라트비아어로 사자를 뜻하며 히브리어로 사자라는 뜻인 본명 'Ari'에서 따왔다
15	Imagine Dragons	미국 네바다 주 라스베이거스에서 결성된 얼터너티브 록 밴드. 일렉트로니카 장르와 록 장르를 결합시켜 2010년대 중후반 최고의 상업적인 성공을 이룬 밴드이며 지금까지도 그 인기를 이어가고 있는 밴드이다.
16	Flo Rida	편안하고 그루브 넘치는 사운드와 신선한 비트로 클럽을 장악하다. T-Pain이 피처링한 데뷔 싱글이자 영화 스텝 업 2 - 더 스트리트의 수록곡인 'Low'가 2007년 발표하자마자 빌보드 핫 100에서 1위를 했고, 신인으로써는 이례적으로 10주 연속 1위에 올랐다. 2008년 빌보드 연말 차트에서는 1위를 기록했다. 이후 본인의 첫 정규 1집 앨범인 'Mail on Sunday'를 발표한다.
17	Train	미국 샌프란시스코 출신의 록 밴드. 1993년에 결성해서 현재까지 27년 했으니 장수한 그룹이다.  오리지널 멤버 Monahan, Rob Hotchkiss, Jimmy Stafford, Scott Underwood, Charlie Colin이 포함 된 라인업으로 밴드는 데뷔 앨범 Train로 주류 성공을 거두었습니다. 앨범은 1998 년 히트작 "Meet Virginia"로 발매되었습니다. Train의 2001 년 앨범 Drops of Jupiter에는 리드 싱글 "Drops of Jupiter (Tell Me)"가 포함되었습니다. 이 싱글은 2002 년에 두 번의 그래미 상을 받았으며 앨범은 이중 플래티넘으로 수상받았씁니다.
18	Sia	오스트레일리아 출신의 싱어송라이터이다. 음악계에서는 이름인 'Sia'만 잘라 예명으로 사용한다. 데뷔 초기에는 어덜트 컨템포러리 음악으로 분류되었고 소울, 재즈 등에서 영향을 받았다. 
19	Ed Sheeran	본명은 Edward Christopher Sheeran(에드워드 크리스토퍼 시런). 뛰어난 작곡 능력과 아름다운 목소리, 중독성 있는 노래로 2010년대 전 세계 대중음악사에 큰 영향을 행사한 가장 뛰어난 아티스트 중 하나다. 1991년 2월 17일 요크셔에서 태어났고 런던 북동부의 서퍽 주 프램링엄(Framlingham, Suffolk)에서 자랐다. 부모와 형이 있다. 조부모는 아일랜드 출신으로 아일랜드에서 인기가 많은 영국 가수 중 하나이다. 
20	Carly Rae Jepsen	미국 아메리칸 아이돌의 캐나다판인 캐네디언 아이돌 시즌 5(Canadian Idol Season 5)에서 Top3를 차지하고, 2008년 9월에 캐나다에서 데뷔 하였다.
21	Charlie Puth	2015년 See You Again이라는 메가 히트곡으로 빌보드에 등장한, 작곡과 프로듀싱 능력까지 겸비한 싱어송라이터이다.  미국 보스턴의 명문 버클리 음악대학 전액 장학생이다. 본래 2009년 9월부터 유튜버 셰인 도슨의 타이틀곡을 작곡하거나, 본인의 유튜브 페이지에 커버 곡 또는 오리지널 곡을 올리는 등 마이너한 유튜버였다.
22	Alan Walker	1997년생으로 어린 나이에 작곡을 시작했다. 그의 대표곡들로는 17살 때 만든 Fade와 보컬 리메이크 버전 Faded, The Spectre, Force, Sing Me To Sleep, Alone, Lily 등이 있다.
23	Sunstroke Project	공연에 참가한 멤버 중 한 명인 세르게이 스테파노프가 이 날 강렬한 색소폰 퍼포먼스를 보여 주었고 순식간에 "Epic Sax Guy"라는 밈으로 유명해지게 되었다.
24	Sekai No Owari	일본의 4인조 밴드. 밴드명 '世界の終わり'는 '세상의 끝'이지만, 사실상 새로운 세상의 시작에 가까운 희망적인 의미다. Fukase가 "세상이 끝나버렸다고 생각했던 좌절의 순간이 모든 것의 시작이었다."는 의미로 명명했다.
25	MY FIRST STORY	2011년 8월에 일본 도쿄 도 시부야 구에서 히로, 쇼우, 테루, 노부, 매삭 등 다섯 멤버가 밴드를 결성하였다.
26	방탄소년단	2013년에 데뷔한 대한민국의 7인조 아이돌 그룹. 국내외 모두에서 매우 큰 인기를 누리며, 현 세대 K-POP의 대표 아이돌 그룹으로 평가받는다.
27	TWICE	예쁨 주의보 발령! 아시아가 반해버린 러블리 아이콘 트와이스가 겨울 요정으로 변신했다. 보다 특별한 크리스마스를 위해 그녀들이 준비한 정규 1집의 리패키지 앨범! 팬들의 마음을 송두리째 흔들 깜찍+당돌 고백송 'Heart Shaker'와 겨울의 쓸쓸함을 달랠 따뜻한 캐럴송 'Marry & Happy'를 포함, 트와이스만의 사랑스러움으로 가득 찬 15곡이 선물처럼 쏟아져 내린다.
28	Red Velvet	국내의 각종 음원 사이트를 석권하여 화제를 모은 레드벨벳의 첫 정규 앨범. 'Red'라는 색상에서 떠오르는 이미지를 담은 10개의 곡이 수록되어있다. SM 엔터테인먼트와의 협업으로 많은 히트곡을 탄생시킨 세계적인 작곡가 팀과 프로듀서가 참여하여, 최신 트렌드에 맞는 중독성 강한 후렴구와 리듬을 탄생시켰다. 생각하지 못한 전개와 반전이 있는 비트가 돋보이는 이 앨범으로 통통 튀는 레드벨벳의 매력을 느껴보자.
29	임창정	믿고 듣는 대한민국 대표 발라더, 임창정의 2016년 13집. '또 다시 사랑'에 이어 임창정X멧돼지 콤비의 환상 케미를 다시금 증명한 타이틀곡 '내가 저지른 사랑'은 절절한 호소력이 빛나는 발라드 곡으로 3옥타브를 넘나드는 명실상부한 가창력을 자랑했다. 음악적 소울메이트 김형석과 오랜만에 함께 한 '그마저 내려놓는'과 '소주 한 잔'의 작곡가 이동원이 참여한 '그 곳에 멈춰서'를 포함해 명품 발라드 앨범을 선보인다.
30	볼빨간사춘기	툭하면 발그레하게 뺨을 붉히고 마는 수줍고 사랑스러운 소녀의 마음과 그 순수함을 노래에 옮겨 담는 인기 여성 듀오 볼빨간 사춘기의 첫 번째 정규 앨범. 앞서 출시한 하프 앨범의 완성판으로 공동 타이틀곡 '우주를 줄게'와 '나만 안 되는 연애'를 비롯해 총 10개 트랙이 수록되어 있다. 사랑에 관한 질문, 연애에 대한 고민, 나를 스쳐 지나가는 소소한 일상과 잡다한 이야기가 모여 풋풋한 감성으로 물든 상큼한 그녀들의 별로 여행을 떠나보자.
31	Lang Lang	피아니스트 랑랑은 '중국의 모차르트'라고 불릴 정도로 많은 사랑을 받는 피아니스트이다. 얼후 연주자인 아버지와 공장 노무자인 어머니 사이에서 태어난 랑랑은 3세 때부터 센양 음악학교에서 피아노를 배우기 시작하여, 5세 때 센양 콩쿠르에서 우승하였다.
32	Valentina Lisitsa	우크라이나계 미국인 피아니스트이다. 유튜브를 통해 유명해진 아티스트의 대표주자이다. 자신의 콘서트나 리허설, 또는 토킹영상을 촬영해 유튜브에 올리는데 웬만한 유명한 피아노곡을 검색하면 반드시 최상단에 발렌티나 리시차의 연주 영상이 올려져 있을 정도로 물량공세가 대단하며, 쇼팽의 연습곡이나 베토벤의 월광 3악장 등의 유명한 곡의 연주영상은 조회수 1000만을 훌쩍 넘기고 있을 정도로 인기가 높다. 이정도면 가히 (유튜브 한정) 음악계의 최고 유명인사라 할만하다. 유튜브에서 유명해지기 전에도 특유의 기교와 음색으로 초고음질 무편집 음원 제작사 Audiofon 에서 음반을 내기도 했다.
33	조성진	2015년 쇼팽 콩쿠르 우승으로 세계적인 명성을 얻은 피아니스트 조성진이 도이체 그라모폰과 선보이는 첫 스튜디오 앨범. 지아난드레아 노세다가 지휘하는 런던 심포니와 함께 애비로드 스튜디오에서 녹음한 쇼팽 피아노 협주곡 1번과 독일에서 녹음된 발라드를 담았다. 주목받는 젊은 피아니스트 조성진의 연주는 시적이고 사색적이며 우아한 쇼팽의 음악을 고스란히 녹여내고 있다.
