SERIAL	SONG	USER	DATE
81	936	52	2021-07-02
82	379	64	2021-07-02
83	272	7	2021-07-02
84	382	33	2021-07-02
85	32	44	2021-07-02
86	995	7	2021-07-02
87	215	59	2021-07-02
88	850	24	2021-07-02
89	492	45	2021-07-02
90	521	5	2021-07-02
91	973	7	2021-07-02
92	123	47	2021-07-02
93	649	64	2021-07-02
94	929	2	2021-07-02
95	730	55	2021-07-02
96	288	16	2021-07-02
97	111	18	2021-07-02
98	93	19	2021-07-02
99	148	40	2021-07-02
100	14	56	2021-07-02
101	339	54	2021-07-02
102	25	49	2021-07-02
103	136	29	2021-07-02
104	184	27	2021-07-02
105	222	16	2021-07-02
106	784	5	2021-07-02
107	718	61	2021-07-02
108	175	55	2021-07-02
109	447	23	2021-07-02
110	803	42	2021-07-02
111	200	61	2021-07-02
112	795	67	2021-07-02
113	565	12	2021-07-02
114	285	27	2021-07-02
115	488	56	2021-07-02
116	730	66	2021-07-02
117	554	16	2021-07-02
118	904	48	2021-07-02
119	597	49	2021-07-02
120	845	41	2021-07-02
121	497	5	2021-07-02
122	360	19	2021-07-02
123	676	51	2021-07-02
124	223	46	2021-07-02
125	95	64	2021-07-02
126	987	51	2021-07-02
127	810	52	2021-07-02
128	21	34	2021-07-02
129	423	7	2021-07-02
130	433	29	2021-07-02
131	656	55	2021-07-02
132	41	39	2021-07-02
133	805	49	2021-07-02
134	450	53	2021-07-02
135	844	37	2021-07-02
136	678	44	2021-07-02
137	40	24	2021-07-03
138	486	15	2021-07-03
139	1	39	2021-07-03
140	400	7	2021-07-03
141	315	41	2021-07-03
142	456	61	2021-07-03
143	839	35	2021-07-03
144	216	30	2021-07-03
145	488	44	2021-07-03
146	822	65	2021-07-03
147	431	39	2021-07-03
148	110	37	2021-07-03
149	543	61	2021-07-03
150	60	25	2021-07-03
151	506	60	2021-07-03
152	376	30	2021-07-03
153	100	14	2021-07-03
154	195	24	2021-07-03
155	774	23	2021-07-03
156	251	25	2021-07-03
157	807	68	2021-07-03
158	126	22	2021-07-03
159	127	65	2021-07-03
160	343	40	2021-07-03
161	544	27	2021-07-03
162	46	26	2021-07-03
163	122	52	2021-07-03
164	642	68	2021-07-03
165	681	12	2021-07-03
166	381	70	2021-07-03
167	379	12	2021-07-03
168	317	62	2021-07-03
169	506	62	2021-07-03
170	310	30	2021-07-03
171	728	7	2021-07-03
172	200	69	2021-07-03
173	365	41	2021-07-03
174	81	2	2021-07-03
175	293	23	2021-07-03
176	783	20	2021-07-03
177	895	10	2021-07-03
178	371	24	2021-07-03
179	330	9	2021-07-03
180	776	55	2021-07-03
181	743	55	2021-07-03
182	696	10	2021-07-03
183	990	56	2021-07-03
184	25	58	2021-07-03
185	575	36	2021-07-03
186	263	5	2021-07-03
187	253	5	2021-07-03
188	35	59	2021-07-03
189	815	55	2021-07-03
190	789	54	2021-07-03
191	289	17	2021-07-03
192	914	55	2021-07-03
193	381	5	2021-07-03
194	157	30	2021-07-03
195	135	8	2021-07-03
196	618	16	2021-07-03
197	351	22	2021-07-03
198	771	54	2021-07-03
199	24	49	2021-07-03
200	28	7	2021-07-03
201	703	38	2021-07-03
202	866	1	2021-07-03
203	205	11	2021-07-03
204	471	33	2021-07-04
205	771	13	2021-07-04
206	45	4	2021-07-04
207	498	39	2021-07-04
208	927	16	2021-07-04
209	685	67	2021-07-04
210	952	51	2021-07-04
211	786	12	2021-07-04
212	369	15	2021-07-04
213	730	26	2021-07-04
214	615	63	2021-07-04
215	244	66	2021-07-04
216	755	23	2021-07-04
217	602	44	2021-07-04
218	664	44	2021-07-04
219	814	2	2021-07-04
220	78	60	2021-07-04
221	444	50	2021-07-04
222	776	10	2021-07-04
223	926	39	2021-07-04
224	61	51	2021-07-04
225	704	70	2021-07-04
226	627	49	2021-07-04
227	283	59	2021-07-04
228	424	69	2021-07-04
229	860	63	2021-07-04
230	963	32	2021-07-04
231	96	55	2021-07-04
232	261	15	2021-07-04
233	444	24	2021-07-04
234	810	45	2021-07-04
235	499	54	2021-07-04
236	394	49	2021-07-04
237	449	67	2021-07-04
238	765	23	2021-07-04
239	447	60	2021-07-04
240	499	58	2021-07-04
241	49	15	2021-07-04
242	577	7	2021-07-04
243	7	19	2021-07-04
244	998	65	2021-07-04
245	688	21	2021-07-04
246	792	54	2021-07-04
247	589	42	2021-07-04
248	711	42	2021-07-04
249	188	6	2021-07-04
250	194	16	2021-07-04
251	945	50	2021-07-04
252	24	56	2021-07-04
253	100	63	2021-07-04
254	33	52	2021-07-04
255	788	65	2021-07-04
256	621	63	2021-07-04
257	621	42	2021-07-05
258	229	10	2021-07-05
259	322	70	2021-07-05
260	513	70	2021-07-05
261	21	43	2021-07-05
262	41	43	2021-07-05
263	679	62	2021-07-05
264	717	11	2021-07-05
265	643	32	2021-07-05
266	668	57	2021-07-05
267	268	57	2021-07-05
268	104	62	2021-07-05
269	947	60	2021-07-05
270	30	56	2021-07-05
271	364	42	2021-07-05
272	357	7	2021-07-05
273	575	49	2021-07-05
274	944	28	2021-07-05
275	508	5	2021-07-05
276	424	49	2021-07-05
277	925	50	2021-07-05
278	419	50	2021-07-05
279	765	29	2021-07-05
280	415	27	2021-07-05
281	134	1	2021-07-05
282	948	53	2021-07-05
283	456	35	2021-07-05
284	544	7	2021-07-05
285	809	28	2021-07-05
286	584	1	2021-07-05
287	324	13	2021-07-05
288	143	61	2021-07-05
289	59	25	2021-07-05
290	886	2	2021-07-05
291	385	4	2021-07-05
292	889	40	2021-07-05
293	161	51	2021-07-05
294	143	63	2021-07-05
295	497	19	2021-07-05
296	864	28	2021-07-05
297	431	9	2021-07-05
298	287	2	2021-07-05
299	728	43	2021-07-05
300	376	33	2021-07-05
301	42	2	2021-07-05
302	373	6	2021-07-05
303	884	27	2021-07-05
304	94	41	2021-07-05
305	454	33	2021-07-05
306	407	15	2021-07-05
307	18	65	2021-07-05
308	266	29	2021-07-05
309	531	52	2021-07-05
310	227	61	2021-07-05
311	153	59	2021-07-05
312	31	2	2021-07-05
313	788	57	2021-07-05
314	15	15	2021-07-05
315	307	12	2021-07-05
316	761	60	2021-07-05
317	608	32	2021-07-05
318	932	2	2021-07-05
319	404	32	2021-07-06
320	462	43	2021-07-06
321	330	37	2021-07-06
322	925	49	2021-07-06
323	547	28	2021-07-06
324	474	68	2021-07-06
325	293	18	2021-07-06
326	116	43	2021-07-06
327	226	37	2021-07-06
328	195	33	2021-07-06
329	236	50	2021-07-06
330	262	34	2021-07-06
331	830	17	2021-07-06
332	637	24	2021-07-06
333	675	57	2021-07-06
334	248	22	2021-07-06
335	92	28	2021-07-06
336	567	54	2021-07-06
337	654	26	2021-07-06
338	102	29	2021-07-06
339	92	58	2021-07-06
340	421	49	2021-07-06
341	435	7	2021-07-06
342	584	48	2021-07-06
343	688	21	2021-07-06
344	824	9	2021-07-06
345	842	1	2021-07-06
346	91	66	2021-07-06
347	314	38	2021-07-06
348	432	41	2021-07-06
349	483	52	2021-07-06
350	859	64	2021-07-06
351	870	54	2021-07-06
352	230	5	2021-07-06
353	331	47	2021-07-06
354	913	36	2021-07-06
355	424	61	2021-07-06
356	428	3	2021-07-06
357	434	51	2021-07-06
358	562	55	2021-07-06
359	744	45	2021-07-06
360	509	66	2021-07-06
361	924	14	2021-07-06
362	960	70	2021-07-06
363	118	41	2021-07-06
364	649	22	2021-07-06
365	145	23	2021-07-06
366	334	11	2021-07-06
367	629	55	2021-07-06
368	309	63	2021-07-06
369	652	52	2021-07-06
370	271	21	2021-07-06
371	753	4	2021-07-06
372	844	63	2021-07-06
373	21	32	2021-07-06
374	231	29	2021-07-06
375	936	7	2021-07-06
376	776	36	2021-07-06
377	215	46	2021-07-06
378	701	28	2021-07-06
379	782	50	2021-07-06
380	583	54	2021-07-06
381	775	57	2021-07-06
382	338	7	2021-07-07
383	263	44	2021-07-07
384	625	43	2021-07-07
385	459	55	2021-07-07
386	963	64	2021-07-07
387	446	33	2021-07-07
388	464	4	2021-07-07
389	18	20	2021-07-07
390	769	59	2021-07-07
391	867	43	2021-07-07
392	530	32	2021-07-07
393	442	41	2021-07-07
394	29	51	2021-07-07
395	408	38	2021-07-07
396	618	65	2021-07-07
397	959	38	2021-07-07
398	767	43	2021-07-07
399	726	9	2021-07-07
400	318	11	2021-07-07
401	507	70	2021-07-07
402	777	19	2021-07-07
403	593	27	2021-07-07
404	755	39	2021-07-07
405	248	11	2021-07-07
406	520	6	2021-07-07
407	275	11	2021-07-07
408	46	10	2021-07-07
409	529	43	2021-07-07
410	148	38	2021-07-07
411	18	23	2021-07-07
412	380	60	2021-07-07
413	620	17	2021-07-07
414	569	34	2021-07-07
415	962	21	2021-07-07
416	553	48	2021-07-07
417	158	49	2021-07-07
418	255	47	2021-07-07
419	654	35	2021-07-07
420	152	64	2021-07-07
421	721	36	2021-07-07
422	15	55	2021-07-07
423	716	12	2021-07-07
424	584	49	2021-07-07
425	723	33	2021-07-07
426	310	32	2021-07-07
427	890	36	2021-07-07
428	418	24	2021-07-07
429	779	23	2021-07-07
430	183	22	2021-07-07
431	283	5	2021-07-07
432	663	44	2021-07-07
433	932	4	2021-07-07
434	528	5	2021-07-07
435	651	16	2021-07-07
436	294	58	2021-07-08
437	392	48	2021-07-08
438	394	9	2021-07-08
439	223	18	2021-07-08
440	190	13	2021-07-08
441	497	32	2021-07-08
442	712	40	2021-07-08
443	844	52	2021-07-08
444	887	12	2021-07-08
445	13	27	2021-07-08
446	463	62	2021-07-08
447	201	9	2021-07-08
448	588	17	2021-07-08
449	699	34	2021-07-08
450	23	56	2021-07-08
451	872	27	2021-07-08
452	606	62	2021-07-08
453	352	38	2021-07-08
454	359	58	2021-07-08
455	75	40	2021-07-08
456	377	55	2021-07-08
457	669	43	2021-07-08
458	178	22	2021-07-08
459	26	13	2021-07-08
460	311	5	2021-07-08
461	923	58	2021-07-08
462	656	47	2021-07-08
463	453	14	2021-07-08
464	697	9	2021-07-08
465	69	43	2021-07-08
466	180	12	2021-07-08
467	886	47	2021-07-08
468	580	57	2021-07-08
469	14	13	2021-07-08
470	19	68	2021-07-08
471	283	9	2021-07-08
472	864	28	2021-07-08
473	685	30	2021-07-08
474	750	11	2021-07-08
475	544	20	2021-07-08
476	436	16	2021-07-08
477	444	55	2021-07-08
478	943	59	2021-07-08
479	749	28	2021-07-08
480	885	15	2021-07-08
481	129	61	2021-07-08
482	430	6	2021-07-08
483	574	43	2021-07-08
484	844	13	2021-07-08
485	390	51	2021-07-08
486	779	57	2021-07-08
487	247	22	2021-07-08
488	237	29	2021-07-08
489	479	69	2021-07-08
490	88	5	2021-07-08
491	964	30	2021-07-09
492	635	12	2021-07-09
493	69	1	2021-07-09
494	745	24	2021-07-09
495	599	2	2021-07-09
496	385	68	2021-07-09
497	1000	30	2021-07-09
498	708	35	2021-07-09
499	630	5	2021-07-09
500	560	22	2021-07-09
501	241	34	2021-07-09
502	688	55	2021-07-09
503	476	31	2021-07-09
504	523	15	2021-07-09
505	202	63	2021-07-09
506	740	38	2021-07-09
507	670	45	2021-07-09
508	591	16	2021-07-09
509	597	32	2021-07-09
510	13	20	2021-07-09
511	638	22	2021-07-09
512	447	9	2021-07-09
513	287	4	2021-07-09
514	722	28	2021-07-09
515	659	24	2021-07-09
516	220	61	2021-07-09
517	330	62	2021-07-09
518	257	11	2021-07-09
519	792	49	2021-07-09
520	542	44	2021-07-09
521	930	51	2021-07-09
522	816	5	2021-07-09
523	662	6	2021-07-09
524	67	3	2021-07-09
525	29	59	2021-07-09
526	966	44	2021-07-09
527	820	22	2021-07-09
528	947	22	2021-07-09
529	145	59	2021-07-09
530	632	25	2021-07-09
531	309	36	2021-07-09
532	489	48	2021-07-09
533	684	48	2021-07-09
534	130	46	2021-07-09
535	742	9	2021-07-09
536	75	49	2021-07-09
537	823	12	2021-07-09
538	808	2	2021-07-09
539	820	36	2021-07-09
540	769	21	2021-07-09
541	367	63	2021-07-09
542	980	31	2021-07-09
543	570	9	2021-07-09
544	163	40	2021-07-09
545	236	5	2021-07-09
546	36	34	2021-07-09
547	278	27	2021-07-09
548	762	63	2021-07-09
549	245	60	2021-07-09
550	70	34	2021-07-09
551	621	18	2021-07-09
552	967	45	2021-07-09
553	157	69	2021-07-09
554	348	39	2021-07-09
555	923	3	2021-07-09
556	26	25	2021-07-09
557	52	62	2021-07-09
558	587	36	2021-07-09
559	207	59	2021-07-09
560	749	2	2021-07-09
561	524	70	2021-07-09
562	648	52	2021-07-09
563	892	22	2021-07-10
564	928	50	2021-07-10
565	544	39	2021-07-10
566	447	36	2021-07-10
567	141	18	2021-07-10
568	489	15	2021-07-10
569	915	5	2021-07-10
570	459	16	2021-07-10
571	320	57	2021-07-10
572	171	46	2021-07-10
573	592	61	2021-07-10
574	686	4	2021-07-10
575	642	54	2021-07-10
576	363	64	2021-07-10
577	140	54	2021-07-10
578	521	63	2021-07-10
579	526	13	2021-07-10
580	922	63	2021-07-10
581	284	55	2021-07-10
582	45	2	2021-07-10
583	91	53	2021-07-10
584	909	70	2021-07-10
585	130	51	2021-07-10
586	109	67	2021-07-10
587	962	4	2021-07-10
588	751	19	2021-07-10
589	342	45	2021-07-10
590	712	20	2021-07-10
591	807	8	2021-07-10
592	161	66	2021-07-10
593	32	36	2021-07-10
594	963	8	2021-07-10
595	852	70	2021-07-10
596	957	62	2021-07-10
597	250	63	2021-07-10
598	533	27	2021-07-10
599	839	13	2021-07-10
600	295	9	2021-07-10
601	741	46	2021-07-10
602	458	6	2021-07-10
603	21	15	2021-07-10
604	488	19	2021-07-10
605	46	15	2021-07-10
606	232	65	2021-07-10
607	576	30	2021-07-10
608	293	7	2021-07-10
609	735	46	2021-07-10
610	247	39	2021-07-10
611	667	5	2021-07-10
612	452	13	2021-07-10
613	788	12	2021-07-10
614	211	59	2021-07-10
615	83	17	2021-07-10
616	917	36	2021-07-10
617	892	66	2021-07-10
618	958	33	2021-07-10
619	211	63	2021-07-10
620	19	60	2021-07-10
621	230	24	2021-07-10
622	53	30	2021-07-11
623	640	57	2021-07-11
624	34	31	2021-07-11
625	404	21	2021-07-11
626	548	26	2021-07-11
627	201	18	2021-07-11
628	774	48	2021-07-11
629	49	11	2021-07-11
630	422	47	2021-07-11
631	532	62	2021-07-11
632	781	42	2021-07-11
633	457	54	2021-07-11
634	796	67	2021-07-11
635	625	36	2021-07-11
636	391	54	2021-07-11
637	118	5	2021-07-11
638	415	42	2021-07-11
639	713	61	2021-07-11
640	702	60	2021-07-11
641	17	18	2021-07-11
642	846	29	2021-07-11
643	623	13	2021-07-11
644	456	49	2021-07-11
645	544	56	2021-07-11
646	74	49	2021-07-11
647	8	30	2021-07-11
648	713	58	2021-07-11
649	700	29	2021-07-11
650	482	25	2021-07-11
651	283	2	2021-07-11
652	744	40	2021-07-11
653	415	22	2021-07-11
654	181	43	2021-07-11
655	932	66	2021-07-11
656	741	54	2021-07-11
657	437	50	2021-07-11
658	940	51	2021-07-11
659	226	35	2021-07-11
660	9	36	2021-07-11
661	384	70	2021-07-11
662	476	40	2021-07-11
663	382	46	2021-07-11
664	675	38	2021-07-11
665	55	9	2021-07-11
666	260	61	2021-07-11
667	396	7	2021-07-11
668	2	69	2021-07-11
669	715	25	2021-07-11
670	113	11	2021-07-11
671	938	13	2021-07-11
672	296	45	2021-07-11
673	666	64	2021-07-11
674	223	11	2021-07-11
675	41	58	2021-07-11
676	900	27	2021-07-11
677	577	36	2021-07-11
678	489	18	2021-07-11
679	102	70	2021-07-11
680	564	57	2021-07-11
681	589	13	2021-07-11
682	966	57	2021-07-12
683	700	40	2021-07-12
684	489	44	2021-07-12
685	295	44	2021-07-12
686	235	15	2021-07-12
687	311	13	2021-07-12
688	761	56	2021-07-12
689	561	13	2021-07-12
690	951	55	2021-07-12
691	453	35	2021-07-12
692	327	56	2021-07-12
693	745	62	2021-07-12
694	937	25	2021-07-12
695	160	62	2021-07-12
696	340	31	2021-07-12
697	586	17	2021-07-12
698	83	12	2021-07-12
699	699	58	2021-07-12
700	506	67	2021-07-12
701	994	51	2021-07-12
702	791	8	2021-07-12
703	93	52	2021-07-12
704	897	69	2021-07-12
705	620	65	2021-07-12
706	152	1	2021-07-12
707	243	8	2021-07-12
708	1000	35	2021-07-12
709	42	9	2021-07-12
710	601	53	2021-07-12
711	914	16	2021-07-12
712	441	55	2021-07-12
713	331	7	2021-07-12
714	426	16	2021-07-12
715	113	4	2021-07-12
716	482	4	2021-07-12
717	817	52	2021-07-12
718	518	1	2021-07-12
719	438	38	2021-07-12
720	837	59	2021-07-12
721	267	48	2021-07-12
722	181	36	2021-07-12
723	487	2	2021-07-12
724	142	4	2021-07-12
725	273	44	2021-07-12
726	774	7	2021-07-12
727	64	12	2021-07-12
728	389	26	2021-07-12
729	887	11	2021-07-12
730	970	43	2021-07-12
731	482	29	2021-07-12
732	177	15	2021-07-12
733	534	20	2021-07-12
734	36	63	2021-07-12
735	39	70	2021-07-12
736	866	27	2021-07-12
737	802	39	2021-07-12
738	227	30	2021-07-12
739	624	49	2021-07-12
740	228	37	2021-07-12
741	875	10	2021-07-13
742	319	28	2021-07-13
743	911	7	2021-07-13
744	42	40	2021-07-13
745	744	65	2021-07-13
746	390	14	2021-07-13
747	435	25	2021-07-13
748	901	1	2021-07-13
749	753	32	2021-07-13
750	893	15	2021-07-13
751	912	28	2021-07-13
752	802	42	2021-07-13
753	142	14	2021-07-13
754	104	39	2021-07-13
755	595	51	2021-07-13
756	834	9	2021-07-13
757	162	50	2021-07-13
758	290	51	2021-07-13
759	878	23	2021-07-13
760	598	39	2021-07-13
761	838	67	2021-07-13
762	274	34	2021-07-13
763	919	53	2021-07-13
764	906	21	2021-07-13
765	737	28	2021-07-13
766	718	57	2021-07-13
767	524	37	2021-07-13
768	562	22	2021-07-13
769	847	28	2021-07-13
770	110	34	2021-07-13
771	508	41	2021-07-13
772	611	54	2021-07-13
773	332	27	2021-07-13
774	302	52	2021-07-13
775	291	33	2021-07-13
776	398	67	2021-07-13
777	50	36	2021-07-13
778	168	64	2021-07-13
779	174	49	2021-07-13
780	270	55	2021-07-13
781	930	54	2021-07-13
782	748	66	2021-07-13
783	579	14	2021-07-13
784	465	34	2021-07-13
785	656	59	2021-07-13
786	977	20	2021-07-13
787	819	68	2021-07-13
788	836	52	2021-07-13
789	73	54	2021-07-13
790	575	52	2021-07-13
791	334	65	2021-07-13
792	815	68	2021-07-13
793	693	52	2021-07-13
794	574	40	2021-07-13
795	913	39	2021-07-13
796	26	1	2021-07-13
797	431	17	2021-07-13
798	241	23	2021-07-13
799	621	39	2021-07-13
800	318	28	2021-07-13
801	377	23	2021-07-13
802	307	21	2021-07-13
803	404	48	2021-07-13
804	741	33	2021-07-13
805	229	65	2021-07-13
806	855	36	2021-07-13
807	339	60	2021-07-13
808	209	54	2021-07-14
809	114	9	2021-07-14
810	33	24	2021-07-14
811	280	9	2021-07-14
812	739	29	2021-07-14
813	346	12	2021-07-14
814	213	2	2021-07-14
815	629	68	2021-07-14
816	171	56	2021-07-14
817	774	24	2021-07-14
818	106	48	2021-07-14
819	781	15	2021-07-14
820	718	49	2021-07-14
821	352	60	2021-07-14
822	260	41	2021-07-14
823	869	54	2021-07-14
824	378	35	2021-07-14
825	756	16	2021-07-14
826	345	17	2021-07-14
827	602	53	2021-07-14
828	777	67	2021-07-14
829	150	49	2021-07-14
830	539	50	2021-07-14
831	600	55	2021-07-14
832	788	48	2021-07-14
833	626	36	2021-07-14
834	536	10	2021-07-14
835	324	37	2021-07-14
836	183	47	2021-07-14
837	170	8	2021-07-14
838	997	20	2021-07-14
839	553	4	2021-07-14
840	618	59	2021-07-14
841	594	50	2021-07-14
842	270	57	2021-07-14
843	989	20	2021-07-14
844	247	30	2021-07-14
845	394	28	2021-07-14
846	517	68	2021-07-14
847	920	59	2021-07-14
848	784	49	2021-07-14
849	718	44	2021-07-14
850	790	2	2021-07-14
851	721	56	2021-07-14
852	742	21	2021-07-14
853	628	1	2021-07-14
854	244	29	2021-07-14
855	42	13	2021-07-14
856	323	7	2021-07-14
857	423	21	2021-07-14
858	435	58	2021-07-14
859	577	39	2021-07-14
860	721	19	2021-07-14
861	738	21	2021-07-14
862	782	52	2021-07-14
863	560	45	2021-07-14
864	681	35	2021-07-14
865	725	1	2021-07-14
866	41	67	2021-07-14
867	873	64	2021-07-15
868	127	19	2021-07-15
869	705	1	2021-07-15
870	838	11	2021-07-15
871	735	55	2021-07-15
872	21	42	2021-07-15
873	15	10	2021-07-15
874	969	6	2021-07-15
875	778	58	2021-07-15
876	353	4	2021-07-15
877	646	10	2021-07-15
878	15	34	2021-07-15
879	452	23	2021-07-15
880	480	8	2021-07-15
881	437	59	2021-07-15
882	690	5	2021-07-15
883	729	38	2021-07-15
884	199	10	2021-07-15
885	93	69	2021-07-15
886	31	7	2021-07-15
887	716	70	2021-07-15
888	876	57	2021-07-15
889	473	69	2021-07-15
890	893	7	2021-07-15
891	28	26	2021-07-15
892	675	19	2021-07-15
893	601	26	2021-07-15
894	39	35	2021-07-15
895	371	59	2021-07-15
896	821	23	2021-07-15
897	423	54	2021-07-15
898	223	65	2021-07-15
899	386	41	2021-07-15
900	732	59	2021-07-15
901	429	50	2021-07-15
902	546	3	2021-07-15
903	221	17	2021-07-15
904	957	48	2021-07-15
905	443	33	2021-07-15
906	163	28	2021-07-15
907	317	48	2021-07-15
908	912	63	2021-07-15
909	926	68	2021-07-15
910	565	54	2021-07-15
911	701	12	2021-07-15
912	468	7	2021-07-15
913	89	61	2021-07-15
914	212	63	2021-07-15
915	326	34	2021-07-15
916	743	4	2021-07-15
917	225	13	2021-07-15
918	601	37	2021-07-15
919	454	57	2021-07-15
920	965	49	2021-07-15
921	105	68	2021-07-15
922	652	60	2021-07-15
923	566	51	2021-07-15
924	5	40	2021-07-15
925	641	36	2021-07-15
926	442	69	2021-07-15
927	605	2	2021-07-15
928	828	11	2021-07-15
929	421	44	2021-07-16
930	309	1	2021-07-16
931	233	43	2021-07-16
932	142	64	2021-07-16
933	457	44	2021-07-16
934	366	3	2021-07-16
935	910	26	2021-07-16
936	4	3	2021-07-16
937	64	7	2021-07-16
938	425	38	2021-07-16
939	219	2	2021-07-16
940	31	8	2021-07-16
941	339	68	2021-07-16
942	442	18	2021-07-16
943	165	47	2021-07-16
944	856	51	2021-07-16
945	854	63	2021-07-16
946	200	4	2021-07-16
947	977	20	2021-07-16
948	758	7	2021-07-16
949	294	61	2021-07-16
950	588	62	2021-07-16
951	614	43	2021-07-16
952	29	47	2021-07-16
953	230	67	2021-07-16
954	559	33	2021-07-16
955	184	70	2021-07-16
956	317	7	2021-07-16
957	719	9	2021-07-16
958	596	28	2021-07-16
959	334	59	2021-07-16
960	55	48	2021-07-16
961	795	51	2021-07-16
962	665	52	2021-07-16
963	891	70	2021-07-16
964	89	64	2021-07-16
965	399	24	2021-07-16
966	874	48	2021-07-16
967	789	2	2021-07-16
968	118	1	2021-07-16
969	996	16	2021-07-16
970	899	14	2021-07-16
971	780	54	2021-07-16
972	256	35	2021-07-16
973	342	34	2021-07-16
974	362	48	2021-07-16
975	993	17	2021-07-16
976	680	26	2021-07-16
977	697	4	2021-07-16
978	745	49	2021-07-16
979	237	59	2021-07-16
980	447	50	2021-07-16
981	848	50	2021-07-16
982	622	67	2021-07-16
983	528	36	2021-07-16
984	583	26	2021-07-16
985	374	17	2021-07-17
986	311	12	2021-07-17
987	401	47	2021-07-17
988	849	27	2021-07-17
989	30	51	2021-07-17
990	7	19	2021-07-17
991	24	39	2021-07-17
992	659	35	2021-07-17
993	556	16	2021-07-17
994	607	35	2021-07-17
995	179	41	2021-07-17
996	225	22	2021-07-17
997	993	21	2021-07-17
998	851	26	2021-07-17
999	934	52	2021-07-17
1000	629	56	2021-07-17
1001	335	56	2021-07-17
1002	42	66	2021-07-17
1003	965	63	2021-07-17
1004	198	6	2021-07-17
1005	635	10	2021-07-17
1006	737	36	2021-07-17
1007	488	60	2021-07-17
1008	186	50	2021-07-17
1009	276	21	2021-07-17
1010	822	18	2021-07-17
1011	883	58	2021-07-17
1012	24	39	2021-07-17
1013	10	48	2021-07-17
1014	266	4	2021-07-17
1015	748	27	2021-07-17
1016	729	52	2021-07-17
1017	204	2	2021-07-17
1018	839	11	2021-07-17
1019	277	16	2021-07-17
1020	187	28	2021-07-17
1021	783	50	2021-07-17
1022	22	55	2021-07-17
1023	931	7	2021-07-17
1024	197	61	2021-07-17
1025	37	48	2021-07-17
1026	435	69	2021-07-17
1027	370	41	2021-07-17
1028	928	45	2021-07-17
1029	759	48	2021-07-17
1030	117	51	2021-07-17
1031	708	54	2021-07-17
1032	206	56	2021-07-17
1033	361	23	2021-07-17
1034	709	21	2021-07-17
1035	784	64	2021-07-17
1036	593	27	2021-07-17
1037	457	64	2021-07-17
1038	182	32	2021-07-17
1039	180	49	2021-07-17
1040	112	31	2021-07-18
1041	705	45	2021-07-18
1042	766	6	2021-07-18
1043	142	8	2021-07-18
1044	795	24	2021-07-18
1045	794	68	2021-07-18
1046	748	53	2021-07-18
1047	832	35	2021-07-18
1048	186	45	2021-07-18
1049	910	49	2021-07-18
1050	875	31	2021-07-18
1051	972	12	2021-07-18
1052	853	15	2021-07-18
1053	475	5	2021-07-18
1054	295	47	2021-07-18
1055	650	70	2021-07-18
1056	504	32	2021-07-18
1057	425	22	2021-07-18
1058	489	55	2021-07-18
1059	616	27	2021-07-18
1060	491	26	2021-07-18
1061	171	67	2021-07-18
1062	453	53	2021-07-18
1063	829	62	2021-07-18
1064	372	15	2021-07-18
1065	913	48	2021-07-18
1066	93	40	2021-07-18
1067	989	12	2021-07-18
1068	533	22	2021-07-18
