s_no	s_depart	s_arrival	s_time	s_price
397	8	5	19:20	230000
398	8	6	5:00	1500000
399	8	6	10:00	980000
400	8	6	15:00	700200
401	8	7	8:00	2600000
402	8	7	15:00	950000
403	8	9	10:32	980000
404	8	9	16:20	920000
405	8	9	20:30	850000
406	8	10	8:00	800000
407	8	10	19:00	750000
408	8	11	8:00	1000000
409	8	11	13:00	980000
410	8	11	15:00	2600000
411	8	11	20:32	1500000
412	8	12	1:11	2100000
413	8	12	12:22	850000
414	8	12	15:43	2000000
415	8	12	22:22	950000
416	8	13	9:00	980000
417	8	13	18:00	920000
418	8	14	4:44	850000
419	8	14	14:32	158000
420	8	15	4:23	128900
421	8	15	16:32	980000
422	8	15	20:03	920000
423	9	1	10:32	850000
424	9	1	16:20	754000
425	9	1	20:30	520000
426	9	1	22:30	620000
427	9	2	7:10	250000
428	9	2	14:20	158000
429	9	2	20:03	128900
430	9	3	6:00	300000
431	9	3	12:00	800000
432	9	4	4:00	750000
433	9	4	10:30	1000000
434	9	4	21:00	980000
435	9	5	1:32	950000
436	9	5	10:32	980000
437	9	5	23:01	920000
438	9	6	5:00	850000
439	9	6	10:00	2980000
440	9	6	15:00	1250000
441	9	7	10:03	1250000
442	9	7	21:32	160000
443	9	8	11:03	100000
444	9	8	21:00	150000
445	9	8	22:03	950000
446	9	10	6:11	230000
447	9	10	10:33	1500000
448	9	11	6:00	290000
449	9	11	12:00	2300000
450	9	12	4:00	260000
451	9	12	10:30	580000
452	9	12	21:00	150000
453	9	13	9:00	950000
454	9	13	18:00	230000
455	9	14	7:00	1500000
456	9	14	15:00	900000
457	9	15	15:20	700000
458	9	15	22:00	500000
459	10	1	10:59	300000
460	10	1	20:39	800000
461	10	2	10:21	750000
462	10	2	19:32	158000
463	10	2	22:03	128900
464	10	3	7:10	950000
465	10	3	14:20	980000
466	10	4	4:00	920000
467	10	4	10:30	850000
468	10	4	21:00	850000
469	10	5	10:03	560000
470	10	5	22:32	2980000
471	10	6	4:00	1250000
472	10	6	10:30	160000
473	10	6	21:00	100000
474	10	7	7:00	950000
475	10	7	15:00	980000
476	10	8	15:20	920000
477	10	8	20:03	850000
478	10	9	10:59	700200
479	10	9	20:49	2600000
480	10	11	7:10	1800000
481	10	11	9:30	560000
482	10	12	14:50	230000
483	10	12	17:20	1500000
484	10	13	1:20	900000
485	10	13	7:10	700000
486	10	14	6:00	1500000
487	10	14	12:00	2100000
488	10	15	7:10	850000
489	10	15	14:20	158000
490	11	1	9:00	128900
491	11	1	18:00	950000
492	11	2	9:00	980000
493	11	2	16:00	920000
494	11	3	15:20	850000
495	11	3	20:00	520000
496	11	4	1:32	250000
497	11	4	10:32	1000000
498	11	5	2:01	600000
499	11	5	15:32	2500000
500	11	6	7:00	250000
501	11	6	15:00	1000000
502	11	7	7:00	980000
503	11	7	10:20	920000
504	11	8	9:00	850000
505	11	8	18:00	754000
506	11	9	9:00	520000
507	11	9	16:00	620000
508	11	10	6:00	250000
509	11	10	10:12	850000
510	11	12	5:02	900000
511	11	12	10:22	700200
512	11	13	10:34	2600000
513	11	13	20:43	260000
514	11	14	7:10	2000000
515	11	14	14:20	250000
516	11	15	16:32	1000000
517	11	15	21:03	600000
518	12	1	7:00	2500000
519	12	1	10:20	250000
520	12	2	10:00	560000
521	12	2	20:00	250000
522	12	3	9:00	1000000
523	12	3	18:00	600000
524	12	4	5:50	2500000
525	12	4	10:30	250000
526	12	5	9:00	1800000
527	12	5	16:00	560000
528	12	6	6:00	2000000
529	12	6	12:00	158000
530	12	7	15:03	128900
531	12	7	20:00	250000
532	12	8	15:00	1000000
533	12	8	20:00	600000
534	12	9	10:30	2500000
535	12	9	15:20	250000
536	12	9	22:04	2980000
537	12	10	10:00	1250000
538	12	10	20:00	160000
539	12	11	6:00	100000
540	12	11	12:00	2600000
541	12	13	7:10	230000
542	12	13	14:20	1500000
543	12	14	7:00	900000
544	12	14	10:20	700000
545	12	15	9:03	1000000
546	12	15	18:42	250000
547	13	1	1:21	1000000
548	13	1	15:04	600000
549	13	2	5:50	2500000
550	13	2	8:32	250000
551	13	3	10:30	560000
552	13	3	20:50	700200
553	13	4	7:00	2600000
554	13	4	10:20	1500000
555	13	5	10:00	2100000
556	13	5	20:00	850000
557	13	6	10:30	158000
558	13	6	20:50	128900
559	13	7	9:02	250000
560	13	7	10:32	1000000
561	13	8	9:00	600000
562	13	8	16:00	2500000
563	13	9	7:10	250000
564	13	9	14:20	250000
565	13	10	9:02	1000000
566	13	10	10:32	600000
567	13	11	5:50	2500000
568	13	11	10:21	250000
569	13	12	15:32	800000
570	13	12	20:32	900000
571	13	14	10:33	700000
572	13	14	23:32	500000
573	13	14	23:40	300000
574	13	15	9:02	800000
575	13	15	10:32	750000
576	14	1	3:23	158000
577	14	1	15:32	128900
578	14	2	9:00	700200
579	14	2	16:00	2600000
580	14	3	7:10	290000
581	14	3	14:20	2300000
582	14	4	10:30	260000
583	14	4	20:50	580000
584	14	5	7:00	560000
585	14	5	10:20	185000
586	14	6	9:02	2980000
587	14	6	10:32	1250000
588	14	7	3:23	160000
589	14	7	15:32	100000
590	14	8	4:23	290000
591	14	8	10:32	2300000
592	14	9	6:00	260000
593	14	9	12:00	580000
594	14	10	5:01	128900
595	14	10	10:02	700200
596	14	10	16:00	2600000
597	14	11	4:00	1500000
598	14	11	9:00	2100000
599	14	11	16:00	850000
600	14	12	5:50	1800000
601	14	12	10:30	560000
602	14	13	6:40	250000
603	14	13	15:20	1000000
604	14	15	6:40	600000
605	14	15	15:20	2500000
606	15	1	10:30	250000
607	15	1	20:50	900000
608	15	2	7:00	700200
609	15	2	10:20	2600000
610	15	3	7:10	158000
611	15	3	14:20	1200000
612	15	4	5:01	158000
613	15	4	10:02	128900
614	15	4	16:00	1800000
615	15	4	20:02	560000
616	15	5	7:10	158000
617	15	5	9:30	1200000
618	15	5	14:50	158000
619	15	5	17:20	158000
620	15	5	21:30	1200000
621	15	6	4:00	250000
622	15	6	9:00	1000000
623	15	6	13:00	600000
624	15	6	16:00	2500000
625	15	7	10:05	250000
626	15	7	14:30	2000000
627	15	7	21:30	850000
628	15	7	22:00	256000
629	15	8	5:00	900000
630	15	8	10:00	700200
631	15	8	12:30	2600000
632	15	8	22:10	1500000
633	15	9	12:30	2100000
634	15	9	20:30	850000
635	15	10	6:00	1000000
636	15	10	15:00	800000
637	15	11	12:00	900000
638	15	11	20:00	700000
639	15	12	10:00	500000
640	15	12	22:00	300000
641	15	13	5:50	800000
642	15	13	12:00	750000
643	15	14	6:00	800000
644	15	14	11:00	1000000
645	15	14	19:00	300000
