p_no	pf_no	p_name	p_place	p_price	p_actor	p_date
32	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-15
33	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-09-16
34	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-09-16
35	M004	레베카	세종문화회관	160000	옥주현	2021-09-17
36	O001	토스카	예술의전당	250000	이정현	2021-09-17
37	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-18
38	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-09-18
39	C005	싸이	화정체육관	180000	싸이	2021-09-18
40	C009	TXT	블루스퀘어	130000	TXT	2021-09-19
41	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-09-19
42	C005	싸이	화정체육관	180000	싸이	2021-09-19
43	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-20
44	M004	레베카	세종문화회관	160000	옥주현	2021-09-20
45	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-09-20
46	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-21
47	O003	서부의아가씨	오페라극장	150000	이윤정	2021-09-21
48	C001	아이유	고양어울림극장	150000	아이유	2021-09-21
49	O003	서부의아가씨	오페라극장	150000	이윤정	2021-09-22
50	M001	시카고	디큐브아트센터	180000	최정원	2021-09-22
51	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-23
52	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-24
53	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-09-24
54	M002	팬텀	샤롯데시어터	160000	박은태	2021-09-25
55	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-09-25
56	C003	자우림	평화의전당	170000	자우림	2021-09-26
57	M009	드라큘라	신한카드홀	160000	김준수	2021-09-26
58	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-26
59	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-09-27
60	O001	토스카	예술의전당	250000	이정현	2021-09-27
61	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-09-28
62	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-09-28
63	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-09-29
64	M001	시카고	디큐브아트센터	180000	최정원	2021-09-29
65	C008	이문세	수성사트피아용지홀	150000	이문세	2021-10-01
66	M007	엘리자벳	계명아트센터	180000	박형식	2021-10-01
67	C005	싸이	화정체육관	180000	싸이	2021-10-02
68	O002	카르멘	대구오페라하우스	200000	백민아	2021-10-02
69	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-10-02
70	M004	레베카	세종문화회관	160000	옥주현	2021-10-03
71	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-03
72	O010	아이다	앙상블시어터	130000	임세경	2021-10-03
73	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-10-04
74	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-10-04
75	M004	레베카	세종문화회관	160000	옥주현	2021-10-05
76	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-10-05
77	C005	싸이	화정체육관	180000	싸이	2021-10-06
78	O006	라보엠	CJ토월극장	120000	김태윤	2021-10-06
79	C005	싸이	화정체육관	180000	싸이	2021-10-07
80	C001	아이유	고양어울림극장	150000	아이유	2021-10-07
81	O010	아이다	앙상블시어터	130000	임세경	2021-10-08
82	C005	싸이	화정체육관	180000	싸이	2021-10-08
83	O007	마농	KT체임버홀	100000	손지혜	2021-10-09
84	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-10-09
85	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-10-09
86	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-10-10
87	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-10
88	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-10-10
89	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-10-12
90	O003	서부의아가씨	오페라극장	150000	이윤정	2021-10-12
91	O010	아이다	앙상블시어터	130000	임세경	2021-10-12
92	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-13
93	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-10-13
94	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-10-13
95	O007	마농	KT체임버홀	100000	손지혜	2021-10-14
96	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-10-14
97	O003	서부의아가씨	오페라극장	150000	이윤정	2021-10-15
98	C009	TXT	블루스퀘어	130000	TXT	2021-10-15
99	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-10-15
100	O001	토스카	예술의전당	250000	이정현	2021-10-16
101	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-16
102	M009	드라큘라	신한카드홀	160000	김준수	2021-10-16
103	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-10-17
104	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-10-17
105	M002	팬텀	샤롯데시어터	160000	전동석	2021-10-17
106	C005	싸이	화정체육관	180000	싸이	2021-10-18
107	O001	토스카	예술의전당	250000	이정현	2021-10-18
108	O002	카르멘	대구오페라하우스	200000	백민아	2021-10-18
109	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-10-19
110	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-10-19
111	O007	마농	KT체임버홀	100000	손지혜	2021-10-19
112	C005	싸이	화정체육관	180000	싸이	2021-10-20
113	C008	이문세	수성사트피아용지홀	150000	이문세	2021-10-20
114	C001	아이유	고양어울림극장	150000	아이유	2021-10-20
115	M008	웃는남자	인터파크홀	210000	박효신	2021-10-21
116	M001	시카고	디큐브아트센터	180000	최정원	2021-10-21
117	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-10-21
118	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-10-23
119	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-10-23
120	M002	팬텀	샤롯데시어터	160000	규현	2021-10-23
121	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-10-24
122	C005	싸이	화정체육관	180000	싸이	2021-10-24
123	O003	서부의아가씨	오페라극장	150000	이윤정	2021-10-24
124	O006	라보엠	CJ토월극장	120000	김태윤	2021-10-25
125	M007	엘리자벳	계명아트센터	180000	박형식	2021-10-25
126	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-10-25
127	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-10-26
128	O003	서부의아가씨	오페라극장	150000	이윤정	2021-10-26
129	M009	드라큘라	신한카드홀	160000	김준수	2021-10-27
130	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-10-27
131	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-10-27
132	C008	이문세	수성사트피아용지홀	150000	이문세	2021-10-28
133	M009	드라큘라	신한카드홀	160000	신성록	2021-10-28
134	M004	레베카	세종문화회관	160000	옥주현	2021-10-28
135	C009	TXT	블루스퀘어	130000	TXT	2021-10-29
136	M001	시카고	디큐브아트센터	180000	최정원	2021-10-29
137	C005	싸이	화정체육관	180000	싸이	2021-10-30
138	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-10-30
139	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-10-31
140	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-10-31
141	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-10-31
142	M008	웃는남자	인터파크홀	210000	박효신	2021-11-01
143	M004	레베카	세종문화회관	160000	옥주현	2021-11-01
144	M002	팬텀	샤롯데시어터	160000	카이	2021-11-01
145	M004	레베카	세종문화회관	160000	옥주현	2021-11-02
146	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-11-02
147	M007	엘리자벳	계명아트센터	180000	박형식	2021-11-02
148	C005	싸이	화정체육관	180000	싸이	2021-11-03
149	C009	TXT	블루스퀘어	130000	TXT	2021-11-03
150	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-11-03
151	C005	싸이	화정체육관	180000	싸이	2021-11-04
152	O007	마농	KT체임버홀	100000	손지혜	2021-11-04
153	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-11-05
154	C009	TXT	블루스퀘어	130000	TXT	2021-11-05
155	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-05
156	O003	서부의아가씨	오페라극장	150000	이윤정	2021-11-06
157	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-11-06
158	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-11-06
159	O006	라보엠	CJ토월극장	120000	김태윤	2021-11-07
160	M007	엘리자벳	계명아트센터	180000	박형식	2021-11-07
161	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-07
162	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-11-08
163	C005	싸이	화정체육관	180000	싸이	2021-11-08
164	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-11-08
165	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-09
166	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-11-09
167	M001	시카고	디큐브아트센터	180000	최정원	2021-11-09
168	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-11-10
169	M009	드라큘라	신한카드홀	160000	신성록	2021-11-10
170	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-11-10
171	C009	TXT	블루스퀘어	130000	TXT	2021-11-11
172	C001	아이유	고양어울림극장	150000	아이유	2021-11-11
173	O003	서부의아가씨	오페라극장	150000	이윤정	2021-11-11
174	M008	웃는남자	인터파크홀	210000	박효신	2021-11-12
175	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-11-12
176	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-12
177	M004	레베카	세종문화회관	160000	옥주현	2021-11-13
178	O010	아이다	앙상블시어터	130000	임세경	2021-11-13
179	M004	레베카	세종문화회관	160000	옥주현	2021-11-14
180	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-11-14
181	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-11-14
182	M001	시카고	디큐브아트센터	180000	최정원	2021-11-15
183	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-11-15
184	C005	싸이	화정체육관	180000	싸이	2021-11-15
185	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-11-16
186	O003	서부의아가씨	오페라극장	150000	이윤정	2021-11-16
187	C001	아이유	고양어울림극장	150000	아이유	2021-11-16
188	C008	이문세	수성사트피아용지홀	150000	이문세	2021-11-18
189	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-11-18
190	M001	시카고	디큐브아트센터	180000	최정원	2021-11-20
191	O001	토스카	예술의전당	250000	이정현	2021-11-20
192	O009	오페라카니발2021	용인포은아트홀	110000	김승직	2021-11-21
193	M004	레베카	세종문화회관	160000	옥주현	2021-11-21
194	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-11-22
195	M002	팬텀	샤롯데시어터	160000	전동석	2021-11-22
196	M001	시카고	디큐브아트센터	180000	최정원	2021-11-22
197	O007	마농	KT체임버홀	100000	손지혜	2021-11-23
198	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-11-23
199	M004	레베카	세종문화회관	160000	옥주현	2021-11-23
200	C008	이문세	수성사트피아용지홀	150000	이문세	2021-11-24
201	O006	라보엠	CJ토월극장	120000	김태윤	2021-11-24
202	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-11-25
203	M002	팬텀	샤롯데시어터	160000	박은태	2021-11-25
204	C001	아이유	고양어울림극장	150000	아이유	2021-11-26
205	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-11-26
206	O010	아이다	앙상블시어터	130000	임세경	2021-11-26
207	O010	아이다	앙상블시어터	130000	임세경	2021-11-27
208	M002	팬텀	샤롯데시어터	160000	카이	2021-11-27
209	M009	드라큘라	신한카드홀	160000	김준수	2021-11-27
210	C005	싸이	화정체육관	180000	싸이	2021-11-28
211	M009	드라큘라	신한카드홀	160000	신성록	2021-11-28
212	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-11-29
213	C005	싸이	화정체육관	180000	싸이	2021-11-29
214	O002	카르멘	대구오페라하우스	200000	백민아	2021-11-29
215	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-11-30
216	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-11-30
217	O003	서부의아가씨	오페라극장	150000	이윤정	2021-11-30
218	O007	마농	KT체임버홀	100000	손지혜	2021-12-01
219	O010	아이다	앙상블시어터	130000	임세경	2021-12-01
220	M002	팬텀	샤롯데시어터	160000	규현	2021-12-01
221	M004	레베카	세종문화회관	160000	옥주현	2021-12-02
222	M008	웃는남자	인터파크홀	210000	박효신	2021-12-02
223	O006	라보엠	CJ토월극장	120000	김태윤	2021-12-02
224	M008	웃는남자	인터파크홀	210000	박효신	2021-12-03
225	O007	마농	KT체임버홀	100000	손지혜	2021-12-03
226	M007	엘리자벳	계명아트센터	180000	박형식	2021-12-03
227	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-12-05
228	O006	라보엠	CJ토월극장	120000	김태윤	2021-12-05
229	M007	엘리자벳	계명아트센터	180000	박형식	2021-12-06
230	M004	레베카	세종문화회관	160000	옥주현	2021-12-06
231	O010	아이다	앙상블시어터	130000	임세경	2021-12-06
232	C009	TXT	블루스퀘어	130000	TXT	2021-12-07
233	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-07
234	O007	마농	KT체임버홀	100000	손지혜	2021-12-08
235	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-08
236	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-12-09
237	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-12-09
238	O007	마농	KT체임버홀	100000	손지혜	2021-12-10
239	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-11
240	O006	라보엠	CJ토월극장	120000	김태윤	2021-12-11
241	M001	시카고	디큐브아트센터	180000	최정원	2021-12-11
242	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-12-12
243	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-12
244	C001	아이유	고양어울림극장	150000	아이유	2021-12-12
245	C005	싸이	화정체육관	180000	싸이	2021-12-13
246	M004	레베카	세종문화회관	160000	옥주현	2021-12-13
247	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-12-13
248	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-12-14
249	O002	카르멘	대구오페라하우스	200000	백민아	2021-12-14
250	M004	레베카	세종문화회관	160000	옥주현	2021-12-14
251	C003	자우림	평화의전당	170000	자우림	2021-12-15
252	O003	서부의아가씨	오페라극장	150000	이윤정	2021-12-15
253	O010	아이다	앙상블시어터	130000	임세경	2021-12-15
254	M004	레베카	세종문화회관	160000	옥주현	2021-12-16
255	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-12-16
256	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-16
257	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-17
258	C001	아이유	고양어울림극장	150000	아이유	2021-12-17
259	M002	팬텀	샤롯데시어터	160000	규현	2021-12-17
260	C001	아이유	고양어울림극장	150000	아이유	2021-12-18
261	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-18
262	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-12-18
263	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-12-19
264	C009	TXT	블루스퀘어	130000	TXT	2021-12-19
265	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-19
266	C003	자우림	평화의전당	170000	자우림	2021-12-20
267	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-20
268	C005	싸이	화정체육관	180000	싸이	2021-12-21
269	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-12-21
270	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-21
271	M007	엘리자벳	계명아트센터	180000	박형식	2021-12-22
272	O005	마술피리	롯데콘서트홀	140000	윤성희	2021-12-22
273	C009	TXT	블루스퀘어	130000	TXT	2021-12-23
274	C004	잔나비	창원컨벤션센터	170000	잔나비	2021-12-23
275	O002	카르멘	대구오페라하우스	200000	백민아	2021-12-23
276	O007	마농	KT체임버홀	100000	손지혜	2021-12-24
277	C003	자우림	평화의전당	170000	자우림	2021-12-24
278	C005	싸이	화정체육관	180000	싸이	2021-12-24
279	C001	아이유	고양어울림극장	150000	아이유	2021-12-25
280	M004	레베카	세종문화회관	160000	옥주현	2021-12-25
281	C002	미스터트롯	서울체조경기장	280000	임영웅외	2021-12-26
282	M009	드라큘라	신한카드홀	160000	김준수	2021-12-26
283	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-12-27
284	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-12-27
285	O003	서부의아가씨	오페라극장	150000	이윤정	2021-12-27
286	C010	김창욱토크	인천문화예술회관	100000	김창욱	2021-12-28
287	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-28
288	O003	서부의아가씨	오페라극장	150000	이윤정	2021-12-28
289	C006	싱어게인	유니버사이드체육관	130000	이승윤외	2021-12-29
290	O010	아이다	앙상블시어터	130000	임세경	2021-12-29
291	O006	라보엠	CJ토월극장	120000	김태윤	2021-12-29
292	O003	서부의아가씨	오페라극장	150000	이윤정	2021-12-31
