no	name	open	close	info	type	x	y
81	도로81				3	1694	714
82	도로82				3	1699	642
83	도로83				3	1695	519
84	도로84				3	1708	574
85	도로85				3	1637	550
86	도로86				3	1638	640
87	도로87				3	1634	706
88	도로88				3	1607	828
89	도로89				3	1609	702
90	도로90				3	1617	775
91	도로91				3	1596	1006
92	도로92				3	1591	885
93	도로93				3	1624	504
94	도로94				3	1583	502
95	도로95				3	1562	381
96	도로96				3	1583	563
97	도로97				3	1607	576
98	도로98				3	1636	585
99	도로99				3	1238	409
100	도로100				3	1191	407
101	도로101				3	1149	388
102	도로102				3	1110	354
103	도로103				3	1091	340
104	도로104				3	1069	339
105	도로105				3	1072	460
106	도로106				3	1080	511
107	도로107				3	1079	648
108	도로108				3	987	638
109	도로109				3	977	610
110	도로110				3	978	568
111	도로111				3	977	517
112	도로112				3	982	474
113	도로113				3	982	418
114	도로114				3	986	347
115	도로115				3	1162	654
116	도로116				3	1192	558
117	도로117				3	1215	487
118	도로118				3	1264	324
119	도로119				3	1270	280
120	도로120				3	1261	237
121	도로121				3	1230	221
122	도로122				3	1147	230
123	도로123				3	1081	240
124	도로124				3	1033	248
125	도로125				3	1025	226
126	도로126				3	1025	200
127	도로127				3	1058	194
128	도로128				3	1076	183
129	도로129				3	1073	129
130	도로130				3	1048	126
131	도로131				3	1016	133
132	도로132				3	985	139
133	도로133				3	973	196
134	도로134				3	973	172
135	도로135				3	978	228
136	도로136				3	979	259
137	도로137				3	948	255
138	도로138				3	913	257
139	도로139				3	900	296
140	도로140				3	888	277
141	도로141				3	890	224
142	도로142				3	888	181
143	도로143				3	906	188
144	도로144				3	910	226
145	도로145				3	925	206
146	도로146				3	944	205
147	도로147				3	1144	702
148	도로148				3	1111	708
149	도로149				3	1084	726
150	도로150				3	1079	762
151	도로151				3	1077	812
152	도로152				3	1065	902
153	도로153				3	1057	973
154	도로154				3	1009	960
155	도로155				3	925	946
156	도로156				3	905	962
157	도로157				3	900	1010
158	도로158				3	897	1054
159	도로159				3	950	1063
160	도로160				3	992	1028
161	도로161				3	1051	1037
162	도로162				3	1037	1133
163	도로163				3	1011	1202
164	도로164				3	989	1261
165	도로165				3	988	1326
166	도로166				3	985	1383
167	도로167				3	928	1377
168	도로168				3	920	1349
169	도로169				3	919	1275
170	도로170				3	920	1208
171	도로171				3	924	1157
172	도로172				3	949	1157
173	도로173				3	977	1159
174	도로174				3	999	1172
175	도로175				3	879	1208
176	도로176				3	876	1263
177	도로177				3	879	1173
178	도로178				3	878	1123
179	도로179				3	877	1086
180	도로180				3	834	1228
181	도로181				3	815	1271
182	도로182				3	816	1319
183	도로183				3	822	1368
184	도로184				3	824	1419
185	도로185				3	855	1420
186	도로186				3	893	1417
187	도로187				3	896	1393
188	도로188				3	909	1432
189	도로189				3	912	1497
190	도로190				3	986	1493
191	도로191				3	995	1548
192	도로192				3	1001	1638
193	도로193				3	923	1646
194	도로194				3	918	1587
195	도로195				3	868	1594
196	도로196				3	865	1529
197	도로197				3	832	1536
198	도로198				3	815	1523
199	도로199				3	820	1601
200	도로200				3	823	1667
201	도로201				3	842	1664
202	도로202				3	863	1772
203	도로203				3	897	1827
204	도로204				3	947	1902
205	도로205				3	966	1939
206	도로206				3	1005	1924
207	도로207				3	1038	2055
208	도로208				3	1072	2155
209	도로209				3	1067	2217
210	도로210				3	1001	2218
211	도로211				3	1017	2162
212	도로212				3	1036	2231
213	도로213				3	1028	2124
214	도로214				3	944	2077
215	도로215				3	1527	1551
216	도로216				3	1528	1388
217	도로217				3	1611	1370
218	도로218				3	1598	1320
219	도로219				3	1578	1252
220	도로220				3	1677	1170
221	도로221				3	1677	954
222	도로222				3	1689	918
223	도로223				3	1641	1009
224	도로224				3	1641	920
225	도로225				3	1589	944
226	도로226				3	1557	950
227	도로227				3	1556	879
228	도로228				3	1656	836
229	도로229				3	1655	776
230	도로230				3	1660	752
231	도로231				3	1692	754
232	도로232				3	1659	709
233	도로233				3	1545	709
234	도로234				3	1515	711
235	도로235				3	1518	682
236	도로236				3	1557	642
237	도로237				3	1579	461
238	도로238				3	1562	326
239	도로239				3	1537	308
240	도로240				3	1532	287
241	도로241				3	1558	272
242	도로242				3	1608	271
243	도로243				3	1647	273
244	도로244				3	1683	282
245	도로245				3	1677	360
246	도로246				3	1673	406
247	도로247				3	1681	468
248	도로248				3	1660	1374
249	도로249				3	1669	1325
250	도로250				3	1664	1290
251	도로251				3	1683	1227
252	도로252				3	1486	1744
253	도로253				3	1405	1792
254	도로254				3	1311	1838
255	도로255				3	1007	1834
256	도로256				3	1417	1496
257	도로257				3	1292	1519
258	도로258				3	1193	1519
259	도로259				3	1196	1431
260	도로260				3	1242	1428
261	도로261				3	1281	1453
262	도로262				3	1294	1489
263	도로263				3	1148	1432
264	도로264				3	1115	1447
265	도로265				3	1095	1490
266	도로266				3	1096	1525
267	도로267				3	1040	1525
268	도로268				3	1511	1007
269	도로269				3	1466	1033
270	도로270				3	1402	1105
271	도로271				3	1308	1138
272	도로272				3	1180	1155
273	도로273				3	1062	1157
274	도로274				3	975	1138
275	도로275				3	948	1113
276	도로276				3	1296	412
277	도로277				3	1400	433
278	도로278				3	1500	480
279	도로279				3	862	1229
280	도로280				3	823	1401
281	도로281				3	804	1436
282	도로282				3	963	2009
283	도로283				3	985	2105
284	도로284				3	972	2135
285	도로285				3	934	2116
286	도로286				3	921	2157
287	도로287				3	937	2185
288	도로288				3	885	1941
289	도로289				3	822	1940
290	도로290				3	808	1918
291	도로291				3	808	1875
292	도로292				3	808	1818
293	도로293				3	807	1755
294	도로294				3	780	1727
295	도로295				3	781	1669
296	도로296				3	644	1729
297	도로297				3	538	1735
298	도로298				3	494	1728
299	도로299				3	492	1407
300	도로300				3	729	1408
301	도로301				3	734	1571
302	도로302				3	779	1576
303	도로303				3	639	1665
304	도로304				3	640	1574
305	도로305				3	530	1573
306	도로306				3	505	1577
307	도로307				3	513	1661
308	도로308				3	537	1667
309	도로309				3	1023	643
310	도로310				3	1175	611
311	도로311				3	1061	935
312	도로312				3	858	1392
313	도로313				3	985	1419
314	도로314				3	583	1573
315	도로315				3	694	1731
316	도로316				3	1009	1719
317	도로317				3	981	445
318	도로318				3	1204	521
319	도로319				3	1187	225
320	도로320				3	1697	681
321	도로321				3	1675	1048
322	도로322				3	1679	1201
323	도로323				3	1664	1351
324	도로324				3	1461	1939
325	도로325				3	1448	2221
326	도로326				3	883	1806
327	도로327				3	999	1589
328	도로328				3	1044	1087
329	도로329				3	998	1237
330	도로330				3	1359	2078
331	도로331				3	1496	1705
332	도로332				3	1232	1521
333	도로333				3	979	952
334	인천마이스터병원	8:00:00	22:00:00	박순형 원장님 운영중	1	946	303
335	바이스시티 병원	7:00:00	17:00:00	안녕하세요~	1	1139	342
336	바이스 시풋병원	0:00:00	23:59:59	24시간 운영중~(1초 쉽니다)	1	1630	379
337	바이스 동화병원	5:00:00	19:00:00	바이스 동화병원입니다	1	1390	490
338	대찬병원	7:00:00	23:00:00	대찬병원입니다	1	1573	662
339	바이스 유비스병원	8:00:00	16:00:00	바이스 유비스병원입니다	1	1353	2109
340	인천적십자병원	8:00:00	15:00:00	인천적십자병원입니다	1	1027	2191
341	인천백병원	4:00:00	20:00:00	인천백병원입니다	1	902	2110
342	바이스 종합병원	3:00:00	23:00:00	바이스 종합병원입니다	1	563	1344
343	은혜병원	5:00:00	21:00:00	은혜병원입니다	1	1429	350
344	Oil병원	6:00:00	23:23:00	Oil병원입니다	1	1699	269
345	도로345				3	556	1407
